neighborhood,current_cases,lat,long,ds
West Hills,4,34.1973,-118.6440,2020-03-23
West Hollywood,23,34.0907,-118.3860,2020-03-23
West Los Angeles,4,34.0399,-118.4422,2020-03-23
West Vernon,2,34.0039,-118.2301,2020-03-23
Westchester,3,33.9597,-118.4006,2020-03-23
Westlake,1,34.1458,-118.8056,2020-03-23
Westwood,6,34.0561,-118.4297,2020-03-23
Whittier,2,33.9679,-118.0189,2020-03-23
Wilmington,3,33.7800,-118.2617,2020-03-23
Wilshire Center,1,34.0642,-118.2984,2020-03-23
Winnetka,1,34.2059,-118.5754,2020-03-23
Woodland Hills,7,34.1659,-118.6104,2020-03-23
Pasadena,3,34.1561,-118.1319,2020-03-23
Long Beach,17,33.7701,-118.1937,2020-03-23
Agoura Hills,3,34.1364,-118.7745,2020-03-24
Alhambra,5,34.0953,-118.1270,2020-03-24
Altadena,5,34.1902,-118.1313,2020-03-24
Arcadia,4,34.1397,-118.0353,2020-03-24
Athens,1,33.9200,-118.2812,2020-03-24
Baldwin Hills,3,34.0047,-118.3415,2020-03-24
Bellflower,3,33.8822,-118.1180,2020-03-24
Beverly Hills,12,34.0736,-118.4004,2020-03-24
Beverlywood,7,34.0409,-118.3919,2020-03-24
Boyle Heights,5,34.0339,-118.2054,2020-03-24
Brentwood,31,34.0519,-118.4731,2020-03-24
Burbank,2,34.1808,-118.3090,2020-03-24
Calabasas,4,34.1383,-118.6608,2020-03-24
Canoga Park,2,34.2011,-118.5981,2020-03-24
Canyon Country,1,34.4245,-118.4711,2020-03-24
Carson,8,33.8374,-118.2559,2020-03-24
Castaic,2,34.4889,-118.6229,2020-03-24
Century City,6,34.0556,-118.4179,2020-03-24
Century Palms/Cove,1,33.9461,-118.2732,2020-03-24
Cerritos,2,33.8584,-118.0648,2020-03-24
Claremont,1,34.1261,-117.7158,2020-03-24
Cloverdale/Cochran,2,34.0626,-118.3465,2020-03-24
Compton,1,33.8958,-118.2201,2020-03-24
Covina,3,34.0900,-117.8903,2020-03-24
Crestview,7,34.0458,-118.3816,2020-03-24
Culver City,7,34.0211,-118.3965,2020-03-24
Del Rey,3,33.9878,-118.4229,2020-03-24
Diamond Bar,2,34.0286,-117.8103,2020-03-24
Downey,1,33.9451,-118.1281,2020-03-24
Downtown,3,34.0422,-118.2488,2020-03-24
Duarte,1,34.1607,-117.9504,2020-03-24
Eagle Rock,2,34.1322,-118.2117,2020-03-24
East Hollywood,1,34.0948,-118.2910,2020-03-24
East Los Angeles,3,34.0316,-118.1724,2020-03-24
Echo Park,2,34.0782,-118.2606,2020-03-24
El Segundo,2,33.9192,-118.4165,2020-03-24
Encino,12,34.1517,-118.5214,2020-03-24
Exposition Park,1,34.0147,-118.2872,2020-03-24
Florence,1,33.9745,-118.2481,2020-03-24
Gardena,1,33.8938,-118.3080,2020-03-24
Glendale,10,34.1425,-118.2551,2020-03-24
Glendora,1,34.1361,-117.8653,2020-03-24
Granada Hills,5,34.2794,-118.5022,2020-03-24
Hancock Park,7,34.0745,-118.3304,2020-03-24
Harbor Gateway,1,33.8501,-118.2991,2020-03-24
Harvard Heights,1,34.0440,-118.3042,2020-03-24
Hawthorne,6,33.9194,-118.3540,2020-03-24
Highland Park,1,34.1145,-118.1842,2020-03-24
Hollywood,19,34.1016,-118.3337,2020-03-24
Hollywood Hills,8,34.1341,-118.3215,2020-03-24
Hyde Park,1,33.9819,-118.3309,2020-03-24
Inglewood,5,33.9610,-118.3554,2020-03-24
Koreatown,5,34.0578,-118.3009,2020-03-24
La Canada Flintridge,2,34.2091,-118.2001,2020-03-24
La Mirada,3,33.9190,-118.0105,2020-03-24
La Puente,1,34.0200,-117.9495,2020-03-24
La Verne,2,34.1202,-117.7704,2020-03-24
Lake Balboa,2,34.1839,-118.4954,2020-03-24
Lakewood,3,33.8536,-118.1340,2020-03-24
Lancaster,8,34.6868,-118.1542,2020-03-24
Lawndale,2,33.8881,-118.3535,2020-03-24
Lincoln Heights,1,34.0706,-118.2051,2020-03-24
Lomita,9,33.7922,-118.3151,2020-03-24
Los Feliz,2,34.1124,-118.2851,2020-03-24
Lynwood,2,33.9293,-118.2139,2020-03-24
Manhattan Beach,11,33.8812,-118.4072,2020-03-24
Mar Vista,6,34.0037,-118.4690,2020-03-24
Melrose,26,34.0837,-118.3366,2020-03-24
Miracle Mile,7,34.0597,-118.3500,2020-03-24
Monterey Park,3,34.0625,-118.1228,2020-03-24
Mt. Washington,1,34.1003,-118.2097,2020-03-24
North Hollywood,10,34.1870,-118.3813,2020-03-24
Northridge,2,34.2379,-118.5302,2020-03-24
Norwalk,1,33.9022,-118.0817,2020-03-24
Pacific Palisades,9,34.0481,-118.5265,2020-03-24
Palmdale,2,34.5794,-118.1093,2020-03-24
Palms,6,34.0237,-118.4151,2020-03-24
Paramount,2,33.8895,-118.1598,2020-03-24
Park La Brea,8,34.0702,-118.3497,2020-03-24
Pico,1,34.0544,-118.3858,2020-03-24
Pico Rivera,1,33.9831,-118.0967,2020-03-24
Playa Vista,4,33.9728,-118.4276,2020-03-24
Porter Ranch,1,39.4346,-121.0205,2020-03-24
Rancho Palos Verdes,3,33.7445,-118.3870,2020-03-24
Redondo Beach,7,33.8492,-118.3884,2020-03-24
Reseda,4,34.2011,-118.5360,2020-03-24
San Dimas,1,34.1067,-117.8067,2020-03-24
San Fernando,2,34.2819,-118.4390,2020-03-24
San Gabriel,1,34.0968,-118.1057,2020-03-24
San Pedro,2,33.7361,-118.2922,2020-03-24
Santa Clarita,7,34.3917,-118.5426,2020-03-24
Santa Monica,16,34.0242,-118.4965,2020-03-24
Santa Monica Mountains,2,34.1203,-118.9318,2020-03-24
Sherman Oaks,10,34.1500,-118.4489,2020-03-24
Silverlake,5,34.0869,-118.2702,2020-03-24
South El Monte,1,34.0493,-118.0469,2020-03-24
South Gate,1,33.9560,-118.2113,2020-03-24
South Park,1,34.0418,-118.2639,2020-03-24
South Pasadena,3,34.1165,-118.1468,2020-03-24
South Whittier,2,33.9608,-118.0417,2020-03-24
Stevenson Ranch,2,34.3873,-118.5802,2020-03-24
Studio City,7,34.1413,-118.3878,2020-03-24
Sun Valley,2,34.2274,-118.3811,2020-03-24
Sunland,1,34.2660,-118.3114,2020-03-24
Sylmar,1,34.3058,-118.4572,2020-03-24
Tarzana,9,34.1509,-118.5517,2020-03-24
Temple,1,34.1023,-118.0603,2020-03-24
Torrance,5,33.8408,-118.3454,2020-03-24
Tujunga,1,34.2633,-118.3027,2020-03-24
University Park,1,34.0315,-118.2797,2020-03-24
Valley Glen,9,34.1838,-118.4172,2020-03-24
Van Nuys,4,34.1899,-118.4514,2020-03-24
Venice,8,33.9764,-118.4667,2020-03-24
Vermont Knolls,1,33.9293,-118.2893,2020-03-24
Vermont Vista,3,33.9465,-118.2826,2020-03-24
Vernon Central,1,34.0043,-118.2570,2020-03-24
Walnut,1,34.0203,-117.8653,2020-03-24
West Adams,3,34.0342,-118.3623,2020-03-24
West Covina,1,34.0686,-117.9390,2020-03-24
West Hills,4,34.1973,-118.6440,2020-03-24
West Hollywood,31,34.0907,-118.3860,2020-03-24
West Los Angeles,4,34.0399,-118.4422,2020-03-24
West Vernon,4,34.0039,-118.2301,2020-03-24
Westchester,3,33.9597,-118.4006,2020-03-24
Westlake,1,34.1458,-118.8056,2020-03-24
Westwood,6,34.0561,-118.4297,2020-03-24
Whittier,3,33.9679,-118.0189,2020-03-24
Wholesale District,1,34.0300,-118.2452,2020-03-24
Willowbrook,1,33.9170,-118.2551,2020-03-24
Wilmington,4,33.7800,-118.2617,2020-03-24
Wilshire Center,1,34.0642,-118.2984,2020-03-24
Winnetka,2,34.2059,-118.5754,2020-03-24
Woodland Hills,8,34.1659,-118.6104,2020-03-24
Agoura Hills,3,34.1364,-118.7745,2020-03-25
Alhambra,6,34.0953,-118.1270,2020-03-25
Altadena,5,34.1902,-118.1313,2020-03-25
Arcadia,4,34.1397,-118.0353,2020-03-25
Arleta,1,34.2419,-118.4256,2020-03-25
Athens,1,33.9200,-118.2812,2020-03-25
Baldwin Hills,3,34.0047,-118.3415,2020-03-25
Bell Gardens,3,33.9653,-118.1515,2020-03-25
Bellflower,7,33.8822,-118.1180,2020-03-25
Beverly Hills,13,34.0736,-118.4004,2020-03-25
Beverlywood,8,34.0409,-118.3919,2020-03-25
Boyle Heights,5,34.0339,-118.2054,2020-03-25
Brentwood,34,34.0519,-118.4731,2020-03-25
Burbank,3,34.1808,-118.3090,2020-03-25
Calabasas,4,34.1383,-118.6608,2020-03-25
Canoga Park,2,34.2011,-118.5981,2020-03-25
Canyon Country,1,34.4245,-118.4711,2020-03-25
Carson,9,33.8374,-118.2559,2020-03-25
Castaic,2,34.4889,-118.6229,2020-03-25
Century City,7,34.0556,-118.4179,2020-03-25
Century Palms/Cove,3,33.9461,-118.2732,2020-03-25
Cerritos,2,33.8584,-118.0648,2020-03-25
Claremont,1,34.1261,-117.7158,2020-03-25
Cloverdale/Cochran,3,34.0626,-118.3465,2020-03-25
Compton,2,33.8958,-118.2201,2020-03-25
Covina,3,34.0900,-117.8903,2020-03-25
Crenshaw District,2,34.0158,-118.3453,2020-03-25
Crestview,7,34.0458,-118.3816,2020-03-25
Culver City,6,34.0211,-118.3965,2020-03-25
Del Rey,5,33.9878,-118.4229,2020-03-25
Diamond Bar,2,34.0286,-117.8103,2020-03-25
Downey,5,33.9451,-118.1281,2020-03-25
Downtown,6,34.0422,-118.2488,2020-03-25
Duarte,1,34.1607,-117.9504,2020-03-25
Eagle Rock,2,34.1322,-118.2117,2020-03-25
East Hollywood,1,34.0948,-118.2910,2020-03-25
East Los Angeles,3,34.0316,-118.1724,2020-03-25
Echo Park,4,34.0782,-118.2606,2020-03-25
El Segundo,2,33.9192,-118.4165,2020-03-25
Encino,13,34.1517,-118.5214,2020-03-25
Exposition Park,1,34.0147,-118.2872,2020-03-25
Florence,4,33.9745,-118.2481,2020-03-25
Gardena,1,33.8938,-118.3080,2020-03-25
Glassell Park,1,34.1161,-118.2290,2020-03-25
Glendale,12,34.1425,-118.2551,2020-03-25
Glendora,2,34.1361,-117.8653,2020-03-25
Granada Hills,7,34.2794,-118.5022,2020-03-25
Hancock Park,8,34.0745,-118.3304,2020-03-25
Harbor Gateway,2,33.8501,-118.2991,2020-03-25
Harvard Heights,1,34.0440,-118.3042,2020-03-25
Hawthorne,8,33.9194,-118.3540,2020-03-25
Highland Park,2,34.1145,-118.1842,2020-03-25
Hollywood,23,34.1016,-118.3337,2020-03-25
Hollywood Hills,8,34.1341,-118.3215,2020-03-25
Hyde Park,1,33.9819,-118.3309,2020-03-25
Inglewood,5,33.9610,-118.3554,2020-03-25
Koreatown,5,34.0578,-118.3009,2020-03-25
La Canada Flintridge,3,34.2091,-118.2001,2020-03-25
La Mirada,4,33.9190,-118.0105,2020-03-25
La Verne,2,34.1202,-117.7704,2020-03-25
Lake Balboa,2,34.1839,-118.4954,2020-03-25
Lakewood,4,33.8536,-118.1340,2020-03-25
Lancaster,13,34.6868,-118.1542,2020-03-25
Lawndale,1,33.8881,-118.3535,2020-03-25
Lomita,9,33.7922,-118.3151,2020-03-25
Los Feliz,3,34.1124,-118.2851,2020-03-25
Lynwood,3,33.9293,-118.2139,2020-03-25
Manhattan Beach,17,33.8812,-118.4072,2020-03-25
Mar Vista,6,34.0037,-118.4690,2020-03-25
Melrose,33,34.0837,-118.3366,2020-03-25
Miracle Mile,8,34.0597,-118.3500,2020-03-25
Monterey Park,4,34.0625,-118.1228,2020-03-25
Mt. Washington,2,34.1003,-118.2097,2020-03-25
North Hollywood,11,34.1870,-118.3813,2020-03-25
Northridge,2,34.2379,-118.5302,2020-03-25
Norwalk,2,33.9022,-118.0817,2020-03-25
Pacific Palisades,9,34.0481,-118.5265,2020-03-25
Palmdale,2,34.5794,-118.1093,2020-03-25
Palms,8,34.0237,-118.4151,2020-03-25
Panorama City,1,34.2247,-118.4498,2020-03-25
Paramount,3,33.8895,-118.1598,2020-03-25
Park La Brea,8,34.0702,-118.3497,2020-03-25
Pico,2,34.0544,-118.3858,2020-03-25
Pico Rivera,1,33.9831,-118.0967,2020-03-25
Playa Vista,5,33.9728,-118.4276,2020-03-25
Pomona,1,34.0551,-117.7500,2020-03-25
Porter Ranch,1,39.4346,-121.0205,2020-03-25
Rancho Palos Verdes,5,33.7445,-118.3870,2020-03-25
Redondo Beach,9,33.8492,-118.3884,2020-03-25
Reseda,5,34.2011,-118.5360,2020-03-25
San Dimas,1,34.1067,-117.8067,2020-03-25
San Fernando,3,34.2819,-118.4390,2020-03-25
San Gabriel,1,34.0968,-118.1057,2020-03-25
San Pedro,4,33.7361,-118.2922,2020-03-25
Santa Clarita,10,34.3917,-118.5426,2020-03-25
Santa Monica,18,34.0242,-118.4965,2020-03-25
Santa Monica Mountains,3,34.1203,-118.9318,2020-03-25
Sherman Oaks,12,34.1500,-118.4489,2020-03-25
Silverlake,6,34.0869,-118.2702,2020-03-25
South El Monte,3,34.0493,-118.0469,2020-03-25
South Gate,2,33.9560,-118.2113,2020-03-25
South Park,1,34.0418,-118.2639,2020-03-25
South Pasadena,3,34.1165,-118.1468,2020-03-25
South Whittier,3,33.9608,-118.0417,2020-03-25
Stevenson Ranch,2,34.3873,-118.5802,2020-03-25
Studio City,7,34.1413,-118.3878,2020-03-25
Sun Valley,2,34.2274,-118.3811,2020-03-25
Sunland,1,34.2660,-118.3114,2020-03-25
Sylmar,1,34.3058,-118.4572,2020-03-25
Tarzana,9,34.1509,-118.5517,2020-03-25
Temple,3,34.1023,-118.0603,2020-03-25
Torrance,9,33.8408,-118.3454,2020-03-25
Tujunga,1,34.2633,-118.3027,2020-03-25
University Park,4,34.0315,-118.2797,2020-03-25
Valinda,1,34.0433,-117.9331,2020-03-25
Valley Glen,11,34.1838,-118.4172,2020-03-25
Van Nuys,4,34.1899,-118.4514,2020-03-25
Venice,9,33.9764,-118.4667,2020-03-25
Vermont Knolls,1,33.9293,-118.2893,2020-03-25
Vermont Vista,3,33.9465,-118.2826,2020-03-25
Vernon Central,1,34.0043,-118.2570,2020-03-25
Walnut,1,34.0203,-117.8653,2020-03-25
Watts,1,33.9386,-118.2380,2020-03-25
West Adams,4,34.0342,-118.3623,2020-03-25
West Covina,2,34.0686,-117.9390,2020-03-25
West Hills,4,34.1973,-118.6440,2020-03-25
West Hollywood,31,34.0907,-118.3860,2020-03-25
West Los Angeles,4,34.0399,-118.4422,2020-03-25
West Vernon,5,34.0039,-118.2301,2020-03-25
Westchester,5,33.9597,-118.4006,2020-03-25
Westlake,1,34.1458,-118.8056,2020-03-25
Westwood,9,34.0561,-118.4297,2020-03-25
Whittier,3,33.9679,-118.0189,2020-03-25
Wholesale District,4,34.0300,-118.2452,2020-03-25
Willowbrook,1,33.9170,-118.2551,2020-03-25
Wilmington,4,33.7800,-118.2617,2020-03-25
Wilshire Center,2,34.0642,-118.2984,2020-03-25
Winnetka,3,34.2059,-118.5754,2020-03-25
Woodland Hills,11,34.1659,-118.6104,2020-03-25
- Under Investigation,56,#N/A,#N/A,2020-03-25
Pasadena,7,34.1561,-118.1319,2020-03-25
Long Beach,28,33.7701,-118.1937,2020-03-25
Agoura Hills,5,34.1364,-118.7745,2020-03-26
Alhambra,8,34.0953,-118.1270,2020-03-26
Altadena,6,34.1902,-118.1313,2020-03-26
Arcadia,6,34.1397,-118.0353,2020-03-26
Arleta,2,34.2419,-118.4256,2020-03-26
Athens,3,33.9200,-118.2812,2020-03-26
Azusa,1,34.1336,-117.9076,2020-03-26
Baldwin Hills,4,34.0047,-118.3415,2020-03-26
Bell,2,33.9761,-118.1851,2020-03-26
Bell Gardens,3,33.9653,-118.1515,2020-03-26
Bellflower,8,33.8822,-118.1180,2020-03-26
Beverly Hills,15,34.0736,-118.4004,2020-03-26
Beverlywood,10,34.0409,-118.3919,2020-03-26
Boyle Heights,7,34.0339,-118.2054,2020-03-26
Brentwood,42,34.0519,-118.4731,2020-03-26
Burbank,6,34.1808,-118.3090,2020-03-26
Calabasas,5,34.1383,-118.6608,2020-03-26
Canoga Park,3,34.2011,-118.5981,2020-03-26
Canyon Country,1,34.4245,-118.4711,2020-03-26
Carson,21,33.8374,-118.2559,2020-03-26
Castaic,2,34.4889,-118.6229,2020-03-26
Century City,9,34.0556,-118.4179,2020-03-26
Century Palms/Cove,3,33.9461,-118.2732,2020-03-26
Cerritos,2,33.8584,-118.0648,2020-03-26
Chatsworth,1,34.2506,-118.6148,2020-03-26
Claremont,1,34.1261,-117.7158,2020-03-26
Cloverdale/Cochran,3,34.0626,-118.3465,2020-03-26
Compton,5,33.8958,-118.2201,2020-03-26
Covina,4,34.0900,-117.8903,2020-03-26
Crenshaw District,2,34.0158,-118.3453,2020-03-26
Crestview,9,34.0458,-118.3816,2020-03-26
Culver City,8,34.0211,-118.3965,2020-03-26
Del Rey,9,33.9878,-118.4229,2020-03-26
Diamond Bar,2,34.0286,-117.8103,2020-03-26
Downey,10,33.9451,-118.1281,2020-03-26
Downtown,7,34.0422,-118.2488,2020-03-26
Duarte,2,34.1607,-117.9504,2020-03-26
Eagle Rock,3,34.1322,-118.2117,2020-03-26
East Hollywood,2,34.0948,-118.2910,2020-03-26
East Los Angeles,4,34.0316,-118.1724,2020-03-26
Echo Park,7,34.0782,-118.2606,2020-03-26
El Segundo,2,33.9192,-118.4165,2020-03-26
Encino,21,34.1517,-118.5214,2020-03-26
Exposition Park,2,34.0147,-118.2872,2020-03-26
Florence,7,33.9745,-118.2481,2020-03-26
Gardena,4,33.8938,-118.3080,2020-03-26
Glassell Park,2,34.1161,-118.2290,2020-03-26
Glendale,23,34.1425,-118.2551,2020-03-26
Glendora,2,34.1361,-117.8653,2020-03-26
Granada Hills,8,34.2794,-118.5022,2020-03-26
Hacienda Heights,2,33.9931,-117.9687,2020-03-26
Hancock Park,10,34.0745,-118.3304,2020-03-26
Harbor City,1,33.7900,-118.2978,2020-03-26
Harbor Gateway,3,33.8501,-118.2991,2020-03-26
Harvard Heights,2,34.0440,-118.3042,2020-03-26
Hawthorne,9,33.9194,-118.3540,2020-03-26
Highland Park,3,34.1145,-118.1842,2020-03-26
Hollywood,27,34.1016,-118.3337,2020-03-26
Hollywood Hills,17,34.1341,-118.3215,2020-03-26
Hyde Park,1,33.9819,-118.3309,2020-03-26
Inglewood,12,33.9610,-118.3554,2020-03-26
Koreatown,7,34.0578,-118.3009,2020-03-26
La Canada Flintridge,6,34.2091,-118.2001,2020-03-26
La Mirada,5,33.9190,-118.0105,2020-03-26
La Puente,1,34.0200,-117.9495,2020-03-26
La Verne,2,34.1202,-117.7704,2020-03-26
Lake Balboa,3,34.1839,-118.4954,2020-03-26
Lakewood,7,33.8536,-118.1340,2020-03-26
Lancaster,16,34.6868,-118.1542,2020-03-26
Lawndale,2,33.8881,-118.3535,2020-03-26
Leimert Park,2,34.0118,-118.3234,2020-03-26
Lincoln Heights,1,34.0706,-118.2051,2020-03-26
Little Bangladesh,1,34.0691,-118.2956,2020-03-26
Lomita,12,33.7922,-118.3151,2020-03-26
Los Feliz,5,34.1124,-118.2851,2020-03-26
Lynwood,6,33.9293,-118.2139,2020-03-26
Manhattan Beach,21,33.8812,-118.4072,2020-03-26
Mar Vista,8,34.0037,-118.4690,2020-03-26
Maywood,1,33.9885,-118.1874,2020-03-26
Melrose,47,34.0837,-118.3366,2020-03-26
Miracle Mile,13,34.0597,-118.3500,2020-03-26
Monrovia,2,34.1481,-117.9990,2020-03-26
Montebello,1,34.0095,-118.1054,2020-03-26
Monterey Park,4,34.0625,-118.1228,2020-03-26
Mt. Washington,3,34.1003,-118.2097,2020-03-26
North Hills,1,34.2362,-118.4851,2020-03-26
North Hollywood,15,34.1870,-118.3813,2020-03-26
Northridge,4,34.2379,-118.5302,2020-03-26
Norwalk,9,33.9022,-118.0817,2020-03-26
Pacific Palisades,12,34.0481,-118.5265,2020-03-26
Pacoima,1,34.2625,-118.4270,2020-03-26
Palmdale,2,34.5794,-118.1093,2020-03-26
Palms,10,34.0237,-118.4151,2020-03-26
Panorama City,4,34.2247,-118.4498,2020-03-26
Paramount,4,33.8895,-118.1598,2020-03-26
Park La Brea,8,34.0702,-118.3497,2020-03-26
Pico,5,34.0544,-118.3858,2020-03-26
Pico Rivera,2,33.9831,-118.0967,2020-03-26
Playa Vista,8,33.9728,-118.4276,2020-03-26
Pomona,3,34.0551,-117.7500,2020-03-26
Porter Ranch,2,39.4346,-121.0205,2020-03-26
Rancho Palos Verdes,6,33.7445,-118.3870,2020-03-26
Redondo Beach,20,33.8492,-118.3884,2020-03-26
Reseda,8,34.2011,-118.5360,2020-03-26
San Dimas,1,34.1067,-117.8067,2020-03-26
San Fernando,3,34.2819,-118.4390,2020-03-26
San Gabriel,3,34.0968,-118.1057,2020-03-26
San Pedro,5,33.7361,-118.2922,2020-03-26
Santa Clarita,16,34.3917,-118.5426,2020-03-26
Santa Monica,21,34.0242,-118.4965,2020-03-26
Santa Monica Mountains,4,34.1203,-118.9318,2020-03-26
Sherman Oaks,17,34.1500,-118.4489,2020-03-26
Silverlake,11,34.0869,-118.2702,2020-03-26
South El Monte,4,34.0493,-118.0469,2020-03-26
South Gate,4,33.9560,-118.2113,2020-03-26
South Park,2,34.0418,-118.2639,2020-03-26
South Pasadena,4,34.1165,-118.1468,2020-03-26
South Whittier,4,33.9608,-118.0417,2020-03-26
Stevenson Ranch,3,34.3873,-118.5802,2020-03-26
Studio City,11,34.1413,-118.3878,2020-03-26
Sun Valley,2,34.2274,-118.3811,2020-03-26
Sunland,1,34.2660,-118.3114,2020-03-26
Sylmar,2,34.3058,-118.4572,2020-03-26
Tarzana,14,34.1509,-118.5517,2020-03-26
Temple,6,34.1023,-118.0603,2020-03-26
Torrance,14,33.8408,-118.3454,2020-03-26
Tujunga,2,34.2633,-118.3027,2020-03-26
University Park,6,34.0315,-118.2797,2020-03-26
Valinda,1,34.0433,-117.9331,2020-03-26
Valley Glen,12,34.1838,-118.4172,2020-03-26
Van Nuys,4,34.1899,-118.4514,2020-03-26
Venice,11,33.9764,-118.4667,2020-03-26
Vermont Knolls,3,33.9293,-118.2893,2020-03-26
Vermont Vista,5,33.9465,-118.2826,2020-03-26
Vernon Central,1,34.0043,-118.2570,2020-03-26
Walnut,1,34.0203,-117.8653,2020-03-26
Watts,1,33.9386,-118.2380,2020-03-26
West Adams,6,34.0342,-118.3623,2020-03-26
West Covina,4,34.0686,-117.9390,2020-03-26
West Hills,4,34.1973,-118.6440,2020-03-26
West Hollywood,35,34.0907,-118.3860,2020-03-26
West Los Angeles,5,34.0399,-118.4422,2020-03-26
West Vernon,6,34.0039,-118.2301,2020-03-26
West Whittier/Los Nietos,1,33.9760,-118.0691,2020-03-26
Westchester,7,33.9597,-118.4006,2020-03-26
Westlake,1,34.1458,-118.8056,2020-03-26
Westwood,11,34.0561,-118.4297,2020-03-26
Whittier,3,33.9679,-118.0189,2020-03-26
Wholesale District,6,34.0300,-118.2452,2020-03-26
Willowbrook,1,33.9170,-118.2551,2020-03-26
Wilmington,5,33.7800,-118.2617,2020-03-26
Wilshire Center,2,34.0642,-118.2984,2020-03-26
Winnetka,5,34.2059,-118.5754,2020-03-26
Woodland Hills,13,34.1659,-118.6104,2020-03-26
Long Beach,41,33.7701,-118.1937,2020-03-26
Pasadena,9,34.1561,-118.1319,2020-03-26
Long Beach,21,33.7701,-118.1937,2020-03-24
Agoura Hills,6,34.1364,-118.7745,2020-03-27
Alhambra,8,34.0953,-118.1270,2020-03-27
Arcadia,6,34.1397,-118.0353,2020-03-27
Azusa,1,34.1336,-117.9076,2020-03-27
Bell,4,33.9761,-118.1851,2020-03-27
Bell Gardens,1,33.9653,-118.1515,2020-03-27
Bellflower,10,33.8822,-118.1180,2020-03-27
Beverly Hills,21,34.0736,-118.4004,2020-03-27
Burbank,7,34.1808,-118.3090,2020-03-27
Calabasas,7,34.1383,-118.6608,2020-03-27
Carson,21,33.8374,-118.2559,2020-03-27
Cerritos,1,33.8584,-118.0648,2020-03-27
Claremont,1,34.1261,-117.7158,2020-03-27
Compton,7,33.8958,-118.2201,2020-03-27
Covina,3,34.0900,-117.8903,2020-03-27
Culver City,6,34.0211,-118.3965,2020-03-27
Diamond Bar,2,34.0286,-117.8103,2020-03-27
Downey,12,33.9451,-118.1281,2020-03-27
Gardena,5,33.8938,-118.3080,2020-03-27
Glendale,29,34.1425,-118.2551,2020-03-27
Glendora,4,34.1361,-117.8653,2020-03-27
Hawthorne,7,33.9194,-118.3540,2020-03-27
Inglewood,12,33.9610,-118.3554,2020-03-27
La Canada Flintridge,5,34.2091,-118.2001,2020-03-27
La Mirada,5,33.9190,-118.0105,2020-03-27
La Puente,1,34.0200,-117.9495,2020-03-27
La Verne,1,34.1202,-117.7704,2020-03-27
Lakewood,8,33.8536,-118.1340,2020-03-27
Lancaster,18,34.6868,-118.1542,2020-03-27
Lawndale,2,33.8881,-118.3535,2020-03-27
Lynwood,8,33.9293,-118.2139,2020-03-27
Manhattan Beach,22,33.8812,-118.4072,2020-03-27
Maywood,1,33.9885,-118.1874,2020-03-27
Monrovia,4,34.1481,-117.9990,2020-03-27
Montebello,2,34.0095,-118.1054,2020-03-27
Monterey Park,4,34.0625,-118.1228,2020-03-27
Norwalk,9,33.9022,-118.0817,2020-03-27
Palmdale,4,34.5794,-118.1093,2020-03-27
Palos Verdes Estates,12,33.7871,-118.3976,2020-03-27
Paramount,5,33.8895,-118.1598,2020-03-27
Pico Rivera,2,33.9831,-118.0967,2020-03-27
Pomona,4,34.0551,-117.7500,2020-03-27
Rancho Palos Verdes,7,33.7445,-118.3870,2020-03-27
Redondo Beach,23,33.8492,-118.3884,2020-03-27
San Dimas,1,34.1067,-117.8067,2020-03-27
San Gabriel,5,34.0968,-118.1057,2020-03-27
Santa Clarita,24,34.3917,-118.5426,2020-03-27
Santa Monica,28,34.0242,-118.4965,2020-03-27
South Gate,4,33.9560,-118.2113,2020-03-27
South Pasadena,3,34.1165,-118.1468,2020-03-27
Torrance,21,33.8408,-118.3454,2020-03-27
Walnut,1,34.0203,-117.8653,2020-03-27
West Covina,5,34.0686,-117.9390,2020-03-27
West Hollywood,42,34.0907,-118.3860,2020-03-27
Whittier,4,33.9679,-118.0189,2020-03-27
Arleta,2,34.2419,-118.4256,2020-03-27
Baldwin Hills,5,34.0047,-118.3415,2020-03-27
Bel Air,6,34.0833,-118.4487,2020-03-27
Beverly Crest,14,34.1024,-118.4163,2020-03-27
Beverlywood,8,34.0409,-118.3919,2020-03-27
Boyle Heights,8,34.0339,-118.2054,2020-03-27
Brentwood,30,34.0519,-118.4731,2020-03-27
Canoga Park,2,34.2011,-118.5981,2020-03-27
Carthay,7,34.0573,-118.3679,2020-03-27
Central,2,34.0833,-118.4487,2020-03-27
Century City,6,34.0556,-118.4179,2020-03-27
Century Palms/Cove,3,33.9461,-118.2732,2020-03-27
Chatsworth,3,34.2506,-118.6148,2020-03-27
Crestview,7,34.0458,-118.3816,2020-03-27
Del Rey,9,33.9878,-118.4229,2020-03-27
Downtown,8,34.0422,-118.2488,2020-03-27
Eagle Rock,4,34.1322,-118.2117,2020-03-27
East Hollywood,3,34.0948,-118.2910,2020-03-27
Encino,23,34.1517,-118.5214,2020-03-27
Exposition Park,2,34.0147,-118.2872,2020-03-27
Florence-Firestone,3,33.9632,-118.2426,2020-03-27
Glassell Park,4,34.1161,-118.2290,2020-03-27
Granada Hills,8,34.2794,-118.5022,2020-03-27
Hancock Park,14,34.0745,-118.3304,2020-03-27
Harbor City,1,33.7900,-118.2978,2020-03-27
Harbor Gateway,4,33.8501,-118.2991,2020-03-27
Harvard Park,1,33.9841,-118.3042,2020-03-27
Highland Park,5,34.1145,-118.1842,2020-03-27
