,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
11884,East Los Angeles,11.0,8.66,2020-03-30,2020-03-27,,34.0316,-118.1724
11885,East Pasadena,0.0,0.0,2020-03-30,2020-03-27,,,
11886,East Rancho Dominguez,0.0,0.0,2020-03-30,2020-03-27,,33.898070000000004,-118.19535
11887,East Whittier,0.0,0.0,2020-03-30,2020-03-27,,,
11888,Echo Park,5.0,34.85,2020-03-30,2020-03-27,,34.0782,-118.2606
11889,El Camino Village,0.0,0.0,2020-03-30,2020-03-27,,33.8895,-118.3309
11890,El Monte,1.0,0.88,2020-03-30,2020-03-27,,34.0733,-118.0275
11891,El Segundo,0.0,0.0,2020-03-30,2020-03-27,,33.9192,-118.4165
11892,El Sereno,3.0,7.19,2020-03-30,2020-03-27,,34.0875,-118.1715
11893,Elizabeth Lake,0.0,0.0,2020-03-30,2020-03-27,,,
11894,Elysian Park,0.0,0.0,2020-03-30,2020-03-27,,34.0838,-118.2366
11895,Elysian Valley,0.0,0.0,2020-03-30,2020-03-27,,34.0967,-118.2427
11896,Encino,29.0,68.18,2020-03-30,2020-03-27,,34.1517,-118.5214
11897,Exposition,0.0,0.0,2020-03-30,2020-03-27,,,
11898,Exposition Park,4.0,8.85,2020-03-30,2020-03-27,,34.0147,-118.2872
11899,Faircrest Heights,0.0,0.0,2020-03-30,2020-03-27,,,
11900,Figueroa Park Square,0.0,0.0,2020-03-30,2020-03-27,,33.9602,-118.28399999999999
11901,Florence-Firestone,7.0,14.33,2020-03-30,2020-03-27,,33.9632,-118.2426
11902,Franklin Canyon,0.0,0.0,2020-03-30,2020-03-27,,,
11903,Gardena,7.0,11.54,2020-03-30,2020-03-27,,33.8938,-118.30799999999999
11904,Glassell Park,8.0,25.49,2020-03-30,2020-03-27,,34.1161,-118.229
11905,Glendale,62.0,30.75,2020-03-30,2020-03-27,,34.1425,-118.2551
11906,Glendora,6.0,11.49,2020-03-30,2020-03-27,,34.1361,-117.8653
11907,Gramercy Place,0.0,0.0,2020-03-30,2020-03-27,,34.0468,-118.3127
11908,Granada Hills,9.0,15.52,2020-03-30,2020-03-27,,34.2794,-118.5022
11909,Green Meadows,0.0,0.0,2020-03-30,2020-03-27,,33.9556,-118.2694
11910,Hacienda Heights,2.0,3.66,2020-03-30,2020-03-27,,33.9931,-117.9687
11911,Hancock Park,26.0,158.3,2020-03-30,2020-03-27,,34.0745,-118.3304
11912,Harbor City,4.0,13.81,2020-03-30,2020-03-27,,33.79,-118.2978
11913,Harbor Gateway,6.0,13.73,2020-03-30,2020-03-27,,33.8501,-118.2991
11914,Harbor Pines,0.0,0.0,2020-03-30,2020-03-27,,,
11915,Harvard Heights,0.0,0.0,2020-03-30,2020-03-27,,34.044000000000004,-118.3042
11916,Harvard Park,3.0,7.57,2020-03-30,2020-03-27,,33.9841,-118.3042
11917,Hawaiian Gardens,0.0,0.0,2020-03-30,2020-03-27,,33.8314,-118.0728
11918,Hawthorne,13.0,14.81,2020-03-30,2020-03-27,,33.9194,-118.354
11919,Hermosa Beach,7.0,35.51,2020-03-30,2020-03-27,,33.8621,-118.4
11920,Hi Vista,0.0,0.0,2020-03-30,2020-03-27,,,
11921,Hidden Hills,0.0,0.0,2020-03-30,2020-03-27,,,
11922,Highland Park,9.0,18.68,2020-03-30,2020-03-27,,34.1145,-118.1842
11923,Historic Filipinotown,0.0,0.0,2020-03-30,2020-03-27,,34.0703,-118.26799999999999
11924,Hollywood,49.0,75.45,2020-03-30,2020-03-27,,34.1016,-118.3337
11925,Hollywood Hills,26.0,90.04,2020-03-30,2020-03-27,,34.1341,-118.3215
11926,Huntington Park,4.0,6.72,2020-03-30,2020-03-27,,33.9849,-118.2278
11927,Hyde Park,6.0,20.42,2020-03-30,2020-03-27,,33.9819,-118.3309
11928,Industry,0.0,0.0,2020-03-30,2020-03-27,,,
11929,Inglewood,26.0,22.34,2020-03-30,2020-03-27,,33.961,-118.3554
11930,Irwindale,0.0,0.0,2020-03-30,2020-03-27,,,
11931,Jefferson Park,0.0,0.0,2020-03-30,2020-03-27,,34.0272,-118.3176
11932,Kagel/Lopez Canyons,0.0,0.0,2020-03-30,2020-03-27,,,
11933,Koreatown,13.0,24.71,2020-03-30,2020-03-27,,34.0578,-118.3009
11934,La Canada Flintridge,8.0,39.04,2020-03-30,2020-03-27,,34.2091,-118.2001
11935,La Crescenta-Montrose,0.0,0.0,2020-03-30,2020-03-27,,34.2288,-118.2351
11936,La Habra Heights,0.0,0.0,2020-03-30,2020-03-27,,,
11937,La Mirada,7.0,14.15,2020-03-30,2020-03-27,,33.919000000000004,-118.0105
11938,La Puente,3.0,7.43,2020-03-30,2020-03-27,,34.02,-117.9495
11939,La Rambla,0.0,0.0,2020-03-30,2020-03-27,,33.744119,-118.301353
11940,La Verne,2.0,6.04,2020-03-30,2020-03-27,,34.1202,-117.7704
11941,Ladera Heights,0.0,0.0,2020-03-30,2020-03-27,,33.9878,-118.3704
11942,Lafayette Square,0.0,0.0,2020-03-30,2020-03-27,,34.0431,-118.3319
11943,Lake Balboa,11.0,26.4,2020-03-30,2020-03-27,,34.1839,-118.4954
11944,Lake Hughes,0.0,0.0,2020-03-30,2020-03-27,,,
11945,Lake Los Angeles,0.0,0.0,2020-03-30,2020-03-27,,34.6125,-117.8281
