CITY/COMMUNITY (if in Los Angeles City),new_cases,total_cases,lat,long,date
West Los Angeles,,2,34.0399,-118.4422,3/19/2020
West Vernon,,1,34.0039,-118.2301,3/19/2020
Westchester,,3,33.9597,-118.4006,3/19/2020
Westwood,,2,34.0561,-118.4297,3/19/2020
Whittier,,2,33.9679,-118.0189,3/19/2020
Woodland Hills,,3,34.1659,-118.6104,3/19/2020
Under Investigation,,30,#N/A,#N/A,3/19/2020
Long Beach,,12,33.7701,-118.1937,3/19/2020
Pasadena,,2,34.1561,-118.1319,3/19/2020
Alhambra,,3,34.0953,-118.1270,3/20/2020
Altadena,,2,34.1902,-118.1313,3/20/2020
Arcadia,,2,34.1397,-118.0353,3/20/2020
Baldwin Hills,,1,34.0047,-118.3415,3/20/2020
Beverly Hills,,5,34.0736,-118.4004,3/20/2020
Beverlywood,,2,34.0409,-118.3919,3/20/2020
Boyle Heights,,5,34.0339,-118.2054,3/20/2020
Brentwood,,16,34.0519,-118.4731,3/20/2020
Burbank,,1,34.1808,-118.3090,3/20/2020
Calabasas,,1,34.1383,-118.6608,3/20/2020
Carson,,3,33.8374,-118.2559,3/20/2020
Castaic,,1,34.4889,-118.6229,3/20/2020
Century City,,4,34.0556,-118.4179,3/20/2020
Century Palms/Cove,,1,33.9461,-118.2732,3/20/2020
Covina,,1,34.0900,-117.8903,3/20/2020
Crestview,,1,34.0458,-118.3816,3/20/2020
Culver City,,4,34.0211,-118.3965,3/20/2020
Diamond Bar,,2,34.0286,-117.8103,3/20/2020
Downtown,,1,34.0422,-118.2488,3/20/2020
Eagle Rock,,1,34.1322,-118.2117,3/20/2020
East Los Angeles,,1,34.0316,-118.1724,3/20/2020
Echo Park,,1,34.0782,-118.2606,3/20/2020
El Segundo,,1,33.9192,-118.4165,3/20/2020
Encino,,8,34.1517,-118.5214,3/20/2020
Gardena,,1,33.8938,-118.3080,3/20/2020
Glendale,,4,34.1425,-118.2551,3/20/2020
Granada Hills,,4,34.2794,-118.5022,3/20/2020
Hancock Park,,2,34.0745,-118.3304,3/20/2020
Hawthorne,,2,33.9194,-118.3540,3/20/2020
Hollywood,,7,34.1016,-118.3337,3/20/2020
Hollywood Hills,,2,34.1341,-118.3215,3/20/2020
Inglewood,,2,33.9610,-118.3554,3/20/2020
Koreatown,,1,34.0578,-118.3009,3/20/2020
La Mirada,,3,33.9190,-118.0105,3/20/2020
Lake Balboa,,1,34.1839,-118.4954,3/20/2020
Lakewood,,1,33.8536,-118.1340,3/20/2020
Lancaster,,3,34.6868,-118.1542,3/20/2020
Lawndale,,1,33.8881,-118.3535,3/20/2020
Lomita,,5,33.7922,-118.3151,3/20/2020
Lynwood,,1,33.9293,-118.2139,3/20/2020
Manhattan Beach,,6,33.8812,-118.4072,3/20/2020
Mar Vista,,3,34.0037,-118.4690,3/20/2020
Melrose,,11,34.0837,-118.3366,3/20/2020
Miracle Mile,,1,34.0597,-118.3500,3/20/2020
Monterey Park,,2,34.0625,-118.1228,3/20/2020
North Hollywood,,5,34.1870,-118.3813,3/20/2020
Northridge,,1,34.2379,-118.5302,3/20/2020
Pacific Palisades,,6,34.0481,-118.5265,3/20/2020
Palms,,1,34.0237,-118.4151,3/20/2020
Park LaBrea,,4,34.0702,-118.3497,3/20/2020
Playa Vista,,1,33.9728,-118.4276,3/20/2020
Redondo Beach,,1,33.8492,-118.3884,3/20/2020
Reseda,,2,34.2011,-118.5360,3/20/2020
San Dimas,,1,34.1067,-117.8067,3/20/2020
San Fernado,,1,34.2819,-118.4390,3/20/2020
San Pedro,,1,33.7361,-118.2922,3/20/2020
Santa Clarita,,4,34.3917,-118.5426,3/20/2020
Santa Monica,,4,34.0242,-118.4965,3/20/2020
Santa Monica Mountains,,2,34.1203,-118.9318,3/20/2020
Sherman Oaks,,6,34.1500,-118.4489,3/20/2020
South El Monte,,1,34.0493,-118.0469,3/20/2020
South Pasadena,,2,34.1165,-118.1468,3/20/2020
South Whittier,,1,33.9608,-118.0417,3/20/2020
Stevenson Ranch,,1,34.3873,-118.5802,3/20/2020
Studio City,,3,34.1413,-118.3878,3/20/2020
Sylmar,,1,34.3058,-118.4572,3/20/2020
Tarzana,,6,34.1509,-118.5517,3/20/2020
Torrance,,2,33.8408,-118.3454,3/20/2020
Tujunga,,1,34.2633,-118.3027,3/20/2020
University Park,,1,34.0315,-118.2797,3/20/2020
Valley Glen,,3,34.1838,-118.4172,3/20/2020
Van Nuys,,1,34.1899,-118.4514,3/20/2020
