,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
71,East Covina,0.0,0.0,2020-05-07,2020-05-04,0.0,,
72,East Hollywood,156.0,532.66,2020-05-07,2020-05-04,20.0,34.0948,-118.291
73,East La Mirada,9.0,170.07,2020-05-07,2020-05-04,1.0,,
74,East Lancaster,0.0,0.0,2020-05-07,2020-05-04,0.0,,
75,East Los Angeles,439.0,350.45,2020-05-07,2020-05-04,31.0,34.0316,-118.1724
76,East Pasadena,0.0,0.0,2020-05-07,2020-05-04,0.0,,
77,East Rancho Dominguez,26.0,169.85,2020-05-07,2020-05-04,3.0,33.898070000000004,-118.19535
78,East Whittier,4.0,75.39,2020-05-07,2020-05-04,0.0,,
79,Echo Park,26.0,182.38,2020-05-07,2020-05-04,6.0,34.0782,-118.2606
80,El Camino Village,12.0,136.5,2020-05-07,2020-05-04,0.0,33.8895,-118.3309
81,El Monte,209.0,178.22,2020-05-07,2020-05-04,32.0,34.0733,-118.0275
82,El Segundo,30.0,178.72,2020-05-07,2020-05-04,2.0,33.9192,-118.4165
83,El Sereno,112.0,267.89,2020-05-07,2020-05-04,11.0,34.0875,-118.1715
84,Elizabeth Lake,1.0,60.2,2020-05-07,2020-05-04,0.0,,
85,Elysian Park,10.0,175.07,2020-05-07,2020-05-04,1.0,34.0838,-118.2366
86,Elysian Valley,26.0,255.63,2020-05-07,2020-05-04,2.0,34.0967,-118.2427
87,Encino,96.0,212.52,2020-05-07,2020-05-04,8.0,34.1517,-118.5214
88,Exposition,5.0,150.33,2020-05-07,2020-05-04,0.0,,
89,Exposition Park,154.0,342.85,2020-05-07,2020-05-04,12.0,34.0147,-118.2872
90,Faircrest Heights,4.0,111.11,2020-05-07,2020-05-04,2.0,,
91,Figueroa Park Square,23.0,263.73,2020-05-07,2020-05-04,3.0,33.9602,-118.28399999999999
92,Florence-Firestone,449.0,425.01,2020-05-07,2020-05-04,72.0,33.9632,-118.2426
93,Franklin Canyon,0.0,0.0,2020-05-07,2020-05-04,0.0,,
94,Gardena,177.0,288.7,2020-05-07,2020-05-04,12.0,33.8938,-118.30799999999999
95,Glassell Park,125.0,395.52,2020-05-07,2020-05-04,12.0,34.1161,-118.229
96,Glendale,687.0,332.7,2020-05-07,2020-05-04,53.0,34.1425,-118.2551
97,Glendora,65.0,303.03,2020-05-07,2020-05-04,16.0,34.1361,-117.8653
98,Gramercy Place,40.0,371.61,2020-05-07,2020-05-04,7.0,34.0468,-118.3127
99,Granada Hills,145.0,249.18,2020-05-07,2020-05-04,16.0,34.2794,-118.5022
100,Green Meadows,86.0,399.91,2020-05-07,2020-05-04,15.0,33.9556,-118.2694
101,Hacienda Heights,62.0,110.86,2020-05-07,2020-05-04,6.0,33.9931,-117.9687
102,Hancock Park,68.0,399.08,2020-05-07,2020-05-04,1.0,34.0745,-118.3304
103,Harbor City,57.0,196.08,2020-05-07,2020-05-04,7.0,33.79,-118.2978
104,Harbor Gateway,80.0,183.49,2020-05-07,2020-05-04,7.0,33.8501,-118.2991
105,Harbor Pines,2.0,83.02,2020-05-07,2020-05-04,1.0,,
106,Harvard Heights,72.0,399.22,2020-05-07,2020-05-04,8.0,34.044000000000004,-118.3042
107,Harvard Park,169.0,445.5,2020-05-07,2020-05-04,33.0,33.9841,-118.3042
108,Hawaiian Gardens,11.0,74.95,2020-05-07,2020-05-04,1.0,33.8314,-118.0728
109,Hawthorne,239.0,264.68,2020-05-07,2020-05-04,30.0,33.9194,-118.354
110,Hermosa Beach,25.0,127.1,2020-05-07,2020-05-04,1.0,33.8621,-118.4
111,Hi Vista,0.0,0.0,2020-05-07,2020-05-04,0.0,,
112,Hidden Hills,0.0,0.0,2020-05-07,2020-05-04,0.0,,
113,Highland Park,106.0,219.05,2020-05-07,2020-05-04,10.0,34.1145,-118.1842
114,Historic Filipinotown,77.0,555.16,2020-05-07,2020-05-04,10.0,34.0703,-118.26799999999999
115,Hollywood,206.0,301.81,2020-05-07,2020-05-04,7.0,34.1016,-118.3337
116,Hollywood Hills,67.0,227.63,2020-05-07,2020-05-04,3.0,34.1341,-118.3215
117,Huntington Park,182.0,305.96,2020-05-07,2020-05-04,17.0,33.9849,-118.2278
118,Hyde Park,88.0,308.33,2020-05-07,2020-05-04,14.0,33.9819,-118.3309
119,Industry,4.0,915.33,2020-05-07,2020-05-04,3.0,,
120,Inglewood,408.0,359.21,2020-05-07,2020-05-04,52.0,33.961,-118.3554
121,Irwindale,2.0,137.08,2020-05-07,2020-05-04,0.0,,
122,Jefferson Park,23.0,284.9,2020-05-07,2020-05-04,1.0,34.0272,-118.3176
123,Kagel/Lopez Canyons,1.0,70.82,2020-05-07,2020-05-04,0.0,,
124,Koreatown,168.0,325.0,2020-05-07,2020-05-04,19.0,34.0578,-118.3009
125,La Canada Flintridge,41.0,198.13,2020-05-07,2020-05-04,4.0,34.2091,-118.2001
126,La Crescenta-Montrose,17.0,85.85,2020-05-07,2020-05-04,0.0,34.2288,-118.2351
127,La Habra Heights,4.0,73.33,2020-05-07,2020-05-04,1.0,,
128,La Mirada,73.0,147.18,2020-05-07,2020-05-04,5.0,33.919000000000004,-118.0105
129,La Puente,46.0,113.03,2020-05-07,2020-05-04,3.0,34.02,-117.9495
130,La Rambla,6.0,289.16,2020-05-07,2020-05-04,0.0,33.744119,-118.301353
131,La Verne,20.0,98.04,2020-05-07,2020-05-04,2.0,34.1202,-117.7704
132,Ladera Heights,17.0,240.42,2020-05-07,2020-05-04,2.0,33.9878,-118.3704
133,Lafayette Square,14.0,307.08,2020-05-07,2020-05-04,0.0,34.0431,-118.3319
134,Lake Balboa,129.0,305.64,2020-05-07,2020-05-04,22.0,34.1839,-118.4954
135,Lake Hughes,0.0,0.0,2020-05-07,2020-05-04,0.0,,
136,Lake Los Angeles,24.0,184.7,2020-05-07,2020-05-04,3.0,34.6125,-117.8281
137,Lake Manor,3.0,182.59,2020-05-07,2020-05-04,0.0,,
138,Lakeview Terrace,66.0,502.55,2020-05-07,2020-05-04,7.0,34.2764,-118.3612
139,Lakewood,95.0,118.22,2020-05-07,2020-05-04,9.0,33.8536,-118.134
140,Lancaster,387.0,239.52,2020-05-07,2020-05-04,44.0,34.6868,-118.1542
141,Lawndale,75.0,223.12,2020-05-07,2020-05-04,14.0,33.8881,-118.3535
142,Leimert Park,36.0,236.3,2020-05-07,2020-05-04,3.0,34.0118,-118.3234
143,Lennox,63.0,279.48,2020-05-07,2020-05-04,8.0,33.9397,-118.3529
144,Leona Valley,1.0,57.11,2020-05-07,2020-05-04,0.0,,
145,Lincoln Heights,148.0,454.03,2020-05-07,2020-05-04,37.0,34.0706,-118.2051
146,Little Armenia,151.0,1881.62,2020-05-07,2020-05-04,59.0,34.0981,-118.3005
147,Little Bangladesh,87.0,306.95,2020-05-07,2020-05-04,7.0,34.0691,-118.2956
148,Little Tokyo,8.0,255.35,2020-05-07,2020-05-04,1.0,34.0523,-118.2395
149,Littlerock,11.0,273.56,2020-05-07,2020-05-04,2.0,,
150,Littlerock/Juniper Hills,1.0,77.1,2020-05-07,2020-05-04,0.0,,
151,Littlerock/Pearblossom,7.0,196.13,2020-05-07,2020-05-04,1.0,34.5211,-117.9837
152,Llano,1.0,114.03,2020-05-07,2020-05-04,0.0,,
153,Lomita,40.0,192.97,2020-05-07,2020-05-04,4.0,33.7922,-118.3151
154,Longwood,16.0,371.75,2020-05-07,2020-05-04,0.0,34.055296000000006,-118.33941499999999
155,Los Feliz,36.0,166.6,2020-05-07,2020-05-04,1.0,34.1124,-118.2851
156,Lynwood,240.0,333.12,2020-05-07,2020-05-04,33.0,33.9293,-118.2139
157,Malibu,31.0,239.18,2020-05-07,2020-05-04,0.0,34.0259,-118.7798
158,Manchester Square,16.0,187.44,2020-05-07,2020-05-04,2.0,33.8993,-118.2977
159,Mandeville Canyon,1.0,32.01,2020-05-07,2020-05-04,0.0,,
160,Manhattan Beach,68.0,188.89,2020-05-07,2020-05-04,2.0,33.8812,-118.4072
161,Mar Vista,59.0,138.92,2020-05-07,2020-05-04,2.0,34.0037,-118.469
162,Marina Peninsula,9.0,206.42,2020-05-07,2020-05-04,0.0,33.9797,-118.4657
163,Marina del Rey,11.0,116.88,2020-05-07,2020-05-04,0.0,33.9803,-118.4517
164,Maywood,81.0,288.78,2020-05-07,2020-05-04,11.0,33.9885,-118.1874
165,Melrose,400.0,514.83,2020-05-07,2020-05-04,22.0,34.0837,-118.3366
166,Mid-city,43.0,286.09,2020-05-07,2020-05-04,4.0,34.0429,-118.3344
167,Miracle Mile,37.0,205.73,2020-05-07,2020-05-04,1.0,34.0597,-118.35
168,Mission Hills,87.0,360.64,2020-05-07,2020-05-04,6.0,34.2723,-118.4689
169,Monrovia,85.0,283.43,2020-05-07,2020-05-04,21.0,34.1481,-117.999
170,Montebello,175.0,271.84,2020-05-07,2020-05-04,18.0,34.0095,-118.1054
171,Monterey Park,95.0,152.58,2020-05-07,2020-05-04,14.0,34.0625,-118.1228
172,Mt. Washington,59.0,244.36,2020-05-07,2020-05-04,11.0,34.1003,-118.2097
173,Newhall,0.0,0.0,2020-05-07,2020-05-04,0.0,,
174,North Hills,224.0,363.78,2020-05-07,2020-05-04,33.0,34.2362,-118.4851
175,North Hollywood,460.0,303.79,2020-05-07,2020-05-04,62.0,34.187,-118.3813
176,North Lancaster,3.0,250.42,2020-05-07,2020-05-04,0.0,,
177,North Whittier,6.0,71.77,2020-05-07,2020-05-04,0.0,34.0396,-117.9991
178,Northeast San Gabriel,21.0,87.37,2020-05-07,2020-05-04,4.0,34.0961,-118.1058
179,Northridge,206.0,295.14,2020-05-07,2020-05-04,25.0,34.2379,-118.5302
180,Norwalk,230.0,213.71,2020-05-07,2020-05-04,22.0,33.9022,-118.0817
181,Pacific Palisades,39.0,183.18,2020-05-07,2020-05-04,1.0,34.0481,-118.5265
182,Pacoima,388.0,504.03,2020-05-07,2020-05-04,93.0,34.2625,-118.427
183,Palisades Highlands,3.0,78.0,2020-05-07,2020-05-04,0.0,,
