,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,11.0,138.0,2020-06-01,2020-05-29,0.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,55.0,670.57,2020-06-01,2020-05-29,4.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,35.0,167.6,2020-06-01,2020-05-29,0.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,9.0,216.45,2020-06-01,2020-05-29,1.0,,,
4,Alhambra,220.0,253.68,2020-06-01,2020-05-29,25.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,55.0,441.94,2020-06-01,2020-05-29,6.0,33.9786,-118.4156,Westside
6,Altadena,157.0,359.93,2020-06-01,2020-05-29,11.0,34.1902,-118.1313,Verdugos
7,Anaverde,1.0,66.31,2020-06-01,2020-05-29,0.0,,,
8,Angeles National Forest,1.0,80.32,2020-06-01,2020-05-29,0.0,,,
9,Angelino Heights,16.0,639.49,2020-06-01,2020-05-29,0.0,34.0703,-118.2548,Central L.A.
10,Arcadia,98.0,152.37,2020-06-01,2020-05-29,8.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,293.0,852.49,2020-06-01,2020-05-29,14.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,38.0,226.26,2020-06-01,2020-05-29,5.0,33.8658,-118.0831,Southeast
13,Athens Village,30.0,612.62,2020-06-01,2020-05-29,3.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,238.0,560.77,2020-06-01,2020-05-29,13.0,33.9238,-118.3019,South L.A.
15,Atwater Village,52.0,354.56,2020-06-01,2020-05-29,1.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-06-01,2020-05-29,0.0,,,
17,Avocado Heights,32.0,472.32,2020-06-01,2020-05-29,7.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,250.0,420.77,2020-06-01,2020-05-29,21.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,170.0,546.18,2020-06-01,2020-05-29,4.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,357.0,465.03,2020-06-01,2020-05-29,32.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,91.0,614.16,2020-06-01,2020-05-29,8.0,34.0758,-118.3678,Central L.A.
22,Bel Air,36.0,427.1,2020-06-01,2020-05-29,0.0,34.0833,-118.4487,Westside
23,Bell,348.0,957.83,2020-06-01,2020-05-29,29.0,33.9761,-118.1851,Southeast
24,Bell Gardens,324.0,752.25,2020-06-01,2020-05-29,39.0,33.9653,-118.1515,Southeast
25,Bellflower,421.0,541.58,2020-06-01,2020-05-29,39.0,33.88221,-118.118,Southeast
26,Beverly Crest,37.0,295.41,2020-06-01,2020-05-29,0.0,34.1024,-118.4163,Westside
27,Beverly Hills,139.0,402.67,2020-06-01,2020-05-29,1.0,34.0736,-118.4004,Westside
28,Beverlywood,37.0,280.88,2020-06-01,2020-05-29,0.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,1.0,93.2,2020-06-01,2020-05-29,0.0,,,
30,Boyle Heights,808.0,929.98,2020-06-01,2020-05-29,90.0,34.0339,-118.2054,Eastside
31,Bradbury,3.0,280.64,2020-06-01,2020-05-29,0.0,,,
32,Brentwood,81.0,261.67,2020-06-01,2020-05-29,3.0,34.0519,-118.4731,Westside
33,Brookside,0.0,0.0,2020-06-01,2020-05-29,0.0,,,
