,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
62,Del Rey,62.0,207.11,2020-05-16,2020-05-13,3.0,33.9878,-118.4229,Westside
63,Del Sur,2.0,82.82,2020-05-16,2020-05-13,0.0,,,
64,Desert View Highlands,5.0,200.56,2020-05-16,2020-05-13,0.0,,,
65,Diamond Bar,47.0,81.72,2020-05-16,2020-05-13,2.0,34.0286,-117.8103,San Gabriel Valley
66,Downey,398.0,348.32,2020-05-16,2020-05-13,67.0,33.9451,-118.1281,Southeast
67,Downtown,96.0,349.0,2020-05-16,2020-05-13,1.0,34.0422,-118.2488,Central L.A.
68,Duarte,109.0,431.5,2020-05-16,2020-05-13,5.0,34.1607,-117.9504,San Gabriel Valley
69,Eagle Rock,141.0,356.16,2020-05-16,2020-05-13,2.0,34.1322,-118.2117,Northeast L.A.
70,East Covina,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
71,East Hollywood,187.0,638.51,2020-05-16,2020-05-13,12.0,34.0948,-118.291,Central L.A.
72,East La Mirada,10.0,188.96,2020-05-16,2020-05-13,1.0,,,
73,East Lancaster,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
74,East Los Angeles,552.0,440.65,2020-05-16,2020-05-13,35.0,34.0316,-118.1724,Eastside
75,East Pasadena,1.0,15.62,2020-05-16,2020-05-13,0.0,,,
76,East Rancho Dominguez,32.0,209.04,2020-05-16,2020-05-13,5.0,33.898070000000004,-118.19535,Southeast
77,East Whittier,7.0,131.93,2020-05-16,2020-05-13,1.0,,,
78,Echo Park,40.0,280.58,2020-05-16,2020-05-13,6.0,34.0782,-118.2606,Central L.A.
79,El Camino Village,15.0,170.63,2020-05-16,2020-05-13,1.0,33.8895,-118.3309,South Bay
80,El Monte,319.0,272.02,2020-05-16,2020-05-13,46.0,34.0733,-118.0275,San Gabriel Valley
81,El Segundo,31.0,184.68,2020-05-16,2020-05-13,1.0,33.9192,-118.4165,South Bay
82,El Sereno,131.0,313.34,2020-05-16,2020-05-13,7.0,34.0875,-118.1715,Eastside
83,Elizabeth Lake,3.0,180.61,2020-05-16,2020-05-13,0.0,,,
84,Elysian Park,12.0,210.08,2020-05-16,2020-05-13,0.0,34.0838,-118.2366,Central L.A.
85,Elysian Valley,37.0,363.78,2020-05-16,2020-05-13,3.0,34.0967,-118.2427,Central L.A.
86,Encino,111.0,245.73,2020-05-16,2020-05-13,5.0,34.1517,-118.5214,San Fernando Valley
87,Exposition,6.0,180.4,2020-05-16,2020-05-13,0.0,,,
88,Exposition Park,198.0,440.81,2020-05-16,2020-05-13,10.0,34.0147,-118.2872,South L.A.
89,Faircrest Heights,4.0,111.11,2020-05-16,2020-05-13,0.0,,,
90,Figueroa Park Square,27.0,309.6,2020-05-16,2020-05-13,2.0,33.9602,-118.28399999999999,South L.A.
91,Florence-Firestone,605.0,548.64,2020-05-16,2020-05-13,58.0,33.9632,-118.2426,South L.A.
92,Franklin Canyon,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
93,Gardena,206.0,336.0,2020-05-16,2020-05-13,9.0,33.8938,-118.30799999999999,South Bay
94,Glassell Park,152.0,480.95,2020-05-16,2020-05-13,8.0,34.1161,-118.229,Northeast L.A.
95,Glendale,833.0,403.4,2020-05-16,2020-05-13,48.0,34.1425,-118.2551,Verdugos
96,Glendora,91.0,303.03,2020-05-16,2020-05-13,10.0,34.1361,-117.8653,San Gabriel Valley
97,Gramercy Place,51.0,473.8,2020-05-16,2020-05-13,7.0,34.0468,-118.3127,Central L.A.
98,Granada Hills,217.0,372.91,2020-05-16,2020-05-13,34.0,34.2794,-118.5022,San Fernando Valley
99,Green Meadows,109.0,506.86,2020-05-16,2020-05-13,11.0,33.9556,-118.2694,South L.A.
100,Hacienda Heights,84.0,150.2,2020-05-16,2020-05-13,6.0,33.9931,-117.9687,San Gabriel Valley
101,Hancock Park,71.0,416.69,2020-05-16,2020-05-13,-1.0,34.0745,-118.3304,Central L.A.
102,Harbor City,64.0,220.16,2020-05-16,2020-05-13,6.0,33.79,-118.2978,Harbor
103,Harbor Gateway,100.0,229.36,2020-05-16,2020-05-13,10.0,33.8501,-118.2991,Harbor
104,Harbor Pines,6.0,249.07,2020-05-16,2020-05-13,0.0,,,
105,Harvard Heights,95.0,526.75,2020-05-16,2020-05-13,4.0,34.044000000000004,-118.3042,Central L.A.
106,Harvard Park,200.0,527.22,2020-05-16,2020-05-13,10.0,33.9841,-118.3042,South L.A.
107,Hawaiian Gardens,22.0,149.9,2020-05-16,2020-05-13,6.0,33.8314,-118.0728,Harbor
108,Hawthorne,303.0,336.76,2020-05-16,2020-05-13,26.0,33.9194,-118.354,South Bay
109,Hermosa Beach,26.0,132.18,2020-05-16,2020-05-13,1.0,33.8621,-118.4,South Bay
110,Hi Vista,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
111,Hidden Hills,1.0,52.91,2020-05-16,2020-05-13,0.0,,,
112,Highland Park,139.0,287.24,2020-05-16,2020-05-13,11.0,34.1145,-118.1842,Northeast L.A.
113,Historic Filipinotown,96.0,692.14,2020-05-16,2020-05-13,8.0,34.0703,-118.26799999999999,Central L.A.
114,Hollywood,230.0,336.98,2020-05-16,2020-05-13,6.0,34.1016,-118.3337,Central L.A.
115,Hollywood Hills,76.0,258.2,2020-05-16,2020-05-13,2.0,34.1341,-118.3215,Central L.A.
116,Huntington Park,261.0,438.77,2020-05-16,2020-05-13,30.0,33.9849,-118.2278,Southeast
117,Hyde Park,109.0,381.91,2020-05-16,2020-05-13,10.0,33.9819,-118.3309,South L.A.
118,Industry,10.0,2288.33,2020-05-16,2020-05-13,-1.0,,,
119,Inglewood,472.0,415.56,2020-05-16,2020-05-13,23.0,33.961,-118.3554,South Bay
120,Irwindale,4.0,274.16,2020-05-16,2020-05-13,0.0,,,
121,Jefferson Park,29.0,359.22,2020-05-16,2020-05-13,1.0,34.0272,-118.3176,South L.A.
122,Kagel/Lopez Canyons,4.0,283.29,2020-05-16,2020-05-13,2.0,,,
123,Koreatown,207.0,400.44,2020-05-16,2020-05-13,6.0,34.0578,-118.3009,Central L.A.
124,La Canada Flintridge,47.0,227.13,2020-05-16,2020-05-13,1.0,34.2091,-118.2001,Verdugos
125,La Crescenta-Montrose,24.0,121.21,2020-05-16,2020-05-13,1.0,34.2288,-118.2351,Verdugos
126,La Habra Heights,8.0,146.65,2020-05-16,2020-05-13,1.0,,,
127,La Mirada,118.0,237.91,2020-05-16,2020-05-13,35.0,33.919000000000004,-118.0105,Southeast
128,La Puente,65.0,159.72,2020-05-16,2020-05-13,7.0,34.02,-117.9495,San Gabriel Valley
129,La Rambla,7.0,337.35,2020-05-16,2020-05-13,0.0,33.744119,-118.301353,Harbor
130,La Verne,27.0,147.06,2020-05-16,2020-05-13,1.0,34.1202,-117.7704,Pomona Valley
131,Ladera Heights,17.0,240.42,2020-05-16,2020-05-13,0.0,33.9878,-118.3704,Westside
132,Lafayette Square,15.0,329.02,2020-05-16,2020-05-13,0.0,34.0431,-118.3319,Central L.A.
133,Lake Balboa,150.0,355.4,2020-05-16,2020-05-13,11.0,34.1839,-118.4954,San Fernando Valley
134,Lake Hughes,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
135,Lake Los Angeles,26.0,200.09,2020-05-16,2020-05-13,1.0,34.6125,-117.8281,Antelope Valley
136,Lake Manor,3.0,182.59,2020-05-16,2020-05-13,0.0,,,
137,Lakeview Terrace,84.0,639.61,2020-05-16,2020-05-13,10.0,34.2764,-118.3612,San Fernando Valley
138,Lakewood,130.0,161.77,2020-05-16,2020-05-13,12.0,33.8536,-118.134,Harbor
