,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
62,Del Rey,58.0,193.75,2020-05-11,2020-05-08,0.0,33.9878,-118.4229,Westside
63,Del Sur,2.0,82.82,2020-05-11,2020-05-08,0.0,,,
64,Desert View Highlands,4.0,160.45,2020-05-11,2020-05-08,0.0,,,
65,Diamond Bar,44.0,76.5,2020-05-11,2020-05-08,3.0,34.0286,-117.8103,San Gabriel Valley
66,Downey,294.0,257.3,2020-05-11,2020-05-08,23.0,33.9451,-118.1281,Southeast
67,Downtown,88.0,319.92,2020-05-11,2020-05-08,4.0,34.0422,-118.2488,Central L.A.
68,Duarte,95.0,386.08,2020-05-11,2020-05-08,1.0,34.1607,-117.9504,San Gabriel Valley
69,Eagle Rock,122.0,308.17,2020-05-11,2020-05-08,14.0,34.1322,-118.2117,Northeast L.A.
70,East Covina,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
71,East Hollywood,164.0,559.98,2020-05-11,2020-05-08,2.0,34.0948,-118.291,Central L.A.
72,East La Mirada,9.0,170.07,2020-05-11,2020-05-08,0.0,,,
73,East Lancaster,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
74,East Los Angeles,480.0,383.18,2020-05-11,2020-05-08,26.0,34.0316,-118.1724,Eastside
75,East Pasadena,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
76,East Rancho Dominguez,26.0,169.85,2020-05-11,2020-05-08,0.0,33.898070000000004,-118.19535,Southeast
77,East Whittier,5.0,94.23,2020-05-11,2020-05-08,1.0,,,
78,Echo Park,29.0,203.42,2020-05-11,2020-05-08,2.0,34.0782,-118.2606,Central L.A.
79,El Camino Village,14.0,159.25,2020-05-11,2020-05-08,2.0,33.8895,-118.3309,South Bay
80,El Monte,240.0,204.66,2020-05-11,2020-05-08,24.0,34.0733,-118.0275,San Gabriel Valley
81,El Segundo,30.0,178.72,2020-05-11,2020-05-08,0.0,33.9192,-118.4165,South Bay
82,El Sereno,124.0,296.59,2020-05-11,2020-05-08,9.0,34.0875,-118.1715,Eastside
83,Elizabeth Lake,1.0,60.2,2020-05-11,2020-05-08,0.0,,,
84,Elysian Park,11.0,192.58,2020-05-11,2020-05-08,0.0,34.0838,-118.2366,Central L.A.
85,Elysian Valley,29.0,285.12,2020-05-11,2020-05-08,3.0,34.0967,-118.2427,Central L.A.
86,Encino,101.0,223.59,2020-05-11,2020-05-08,4.0,34.1517,-118.5214,San Fernando Valley
87,Exposition,5.0,150.33,2020-05-11,2020-05-08,0.0,,,
88,Exposition Park,167.0,371.8,2020-05-11,2020-05-08,10.0,34.0147,-118.2872,South L.A.
89,Faircrest Heights,4.0,111.11,2020-05-11,2020-05-08,0.0,,,
90,Figueroa Park Square,24.0,275.2,2020-05-11,2020-05-08,1.0,33.9602,-118.28399999999999,South L.A.
91,Florence-Firestone,497.0,472.92,2020-05-11,2020-05-08,32.0,33.9632,-118.2426,South L.A.
92,Franklin Canyon,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
93,Gardena,185.0,301.75,2020-05-11,2020-05-08,8.0,33.8938,-118.30799999999999,South Bay
94,Glassell Park,139.0,439.82,2020-05-11,2020-05-08,8.0,34.1161,-118.229,Northeast L.A.
95,Glendale,738.0,357.4,2020-05-11,2020-05-08,41.0,34.1425,-118.2551,Verdugos
96,Glendora,73.0,303.03,2020-05-11,2020-05-08,7.0,34.1361,-117.8653,San Gabriel Valley
