,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,10.0,125.45,2020-05-18,2020-05-15,1.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,37.0,451.11,2020-05-18,2020-05-15,3.0,34.0343,-118.2993,South L.A.
2,Agua Dulce,4.0,96.2,2020-05-18,2020-05-15,0.0,,,
3,Alhambra,149.0,171.81,2020-05-18,2020-05-15,6.0,34.0953,-118.12700000000001,San Gabriel Valley
4,Alsace,42.0,337.48,2020-05-18,2020-05-15,4.0,33.9786,-118.4156,Westside
5,Altadena,124.0,284.27,2020-05-18,2020-05-15,3.0,34.1902,-118.1313,Verdugos
6,Anaverde,1.0,66.31,2020-05-18,2020-05-15,0.0,,,
7,Angeles National Forest,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
8,Angelino Heights,13.0,519.58,2020-05-18,2020-05-15,2.0,34.0703,-118.2548,Central L.A.
9,Arcadia,71.0,112.55,2020-05-18,2020-05-15,2.0,34.1397,-118.0353,San Gabriel Valley
10,Arleta,204.0,593.54,2020-05-18,2020-05-15,18.0,34.2419,-118.4256,San Fernando Valley
11,Artesia,21.0,125.04,2020-05-18,2020-05-15,2.0,33.8658,-118.0831,Southeast
12,Athens Village,22.0,449.25,2020-05-18,2020-05-15,2.0,33.92,-118.2812,South L.A.
13,Athens-Westmont,170.0,400.55,2020-05-18,2020-05-15,10.0,33.9238,-118.3019,South L.A.
14,Atwater Village,41.0,279.56,2020-05-18,2020-05-15,2.0,34.1173,-118.2614,Northeast L.A.
15,Avalon,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
16,Avocado Heights,15.0,221.4,2020-05-18,2020-05-15,1.0,34.0361,-117.9912,San Gabriel Valley
17,Azusa,159.0,251.21,2020-05-18,2020-05-15,8.0,34.1336,-117.9076,San Gabriel Valley
18,Baldwin Hills,120.0,385.54,2020-05-18,2020-05-15,12.0,34.0047,-118.3415,South L.A.
19,Baldwin Park,195.0,254.01,2020-05-18,2020-05-15,14.0,34.0853,-117.9609,San Gabriel Valley
20,Bassett,49.0,330.7,2020-05-18,2020-05-15,5.0,34.0758,-118.3678,Central L.A.
21,Bel Air,32.0,379.64,2020-05-18,2020-05-15,-1.0,34.0833,-118.4487,Westside
22,Bell,187.0,514.7,2020-05-18,2020-05-15,9.0,33.9761,-118.1851,Southeast
23,Bell Gardens,162.0,376.12,2020-05-18,2020-05-15,6.0,33.9653,-118.1515,Southeast
24,Bellflower,255.0,328.04,2020-05-18,2020-05-15,25.0,33.88221,-118.118,Southeast
25,Beverly Crest,36.0,287.43,2020-05-18,2020-05-15,1.0,34.1024,-118.4163,Westside
26,Beverly Hills,125.0,362.11,2020-05-18,2020-05-15,0.0,34.0736,-118.4004,Westside
27,Beverlywood,34.0,258.1,2020-05-18,2020-05-15,0.0,34.0409,-118.3919,Westside
28,Bouquet Canyon,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
29,Boyle Heights,401.0,461.53,2020-05-18,2020-05-15,27.0,34.0339,-118.2054,Eastside
30,Bradbury,2.0,187.09,2020-05-18,2020-05-15,0.0,,,
31,Brentwood,74.0,239.06,2020-05-18,2020-05-15,1.0,34.0519,-118.4731,Westside
32,Brookside,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
33,Burbank,350.0,326.55,2020-05-18,2020-05-15,12.0,34.1808,-118.309,San Fernando Valley
34,Cadillac-Corning,26.0,365.12,2020-05-18,2020-05-15,0.0,34.040282,-118.38025,Central L.A.
35,Calabasas,51.0,209.68,2020-05-18,2020-05-15,1.0,34.1383,-118.6608,Santa Monica Mountains
36,Canoga Park,428.0,655.55,2020-05-18,2020-05-15,15.0,34.2011,-118.5981,San Fernando Valley
37,Canyon Country,33.0,427.02,2020-05-18,2020-05-15,2.0,34.4245,-118.4711,Northwest County
38,Carson,345.0,367.62,2020-05-18,2020-05-15,10.0,33.8374,-118.2559,Harbor
39,Carthay,71.0,494.33,2020-05-18,2020-05-15,0.0,34.0573,-118.3679,Central L.A.
40,Castaic,276.0,1015.04,2020-05-18,2020-05-15,13.0,34.4889,-118.6229,Northwest County
41,Central,241.0,618.08,2020-05-18,2020-05-15,20.0,34.0833,-118.4487,Westside
42,Century City,34.0,265.79,2020-05-18,2020-05-15,3.0,34.0556,-118.4179,Westside
43,Century Palms/Cove,162.0,479.77,2020-05-18,2020-05-15,15.0,33.9461,-118.2732,South L.A.
44,Cerritos,88.0,175.76,2020-05-18,2020-05-15,5.0,33.8584,-118.0648,Southeast
45,Charter Oak,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
46,Chatsworth,156.0,420.93,2020-05-18,2020-05-15,14.0,34.2506,-118.6148,San Fernando Valley
47,Cheviot Hills,19.0,207.17,2020-05-18,2020-05-15,0.0,34.0458,-118.4079,Westside
48,Chinatown,14.0,174.54,2020-05-18,2020-05-15,0.0,34.0623,-118.2383,Central L.A.
49,Claremont,32.0,87.71,2020-05-18,2020-05-15,2.0,34.1261,-117.7158,Pomona Valley
50,Cloverdale/Cochran,52.0,357.31,2020-05-18,2020-05-15,6.0,34.0626,-118.3465,Central L.A.
51,Commerce,23.0,175.99,2020-05-18,2020-05-15,1.0,34.0006,-118.1598,Southeast
52,Compton,365.0,365.35,2020-05-18,2020-05-15,31.0,33.8958,-118.2201,Southeast
53,Country Club Park,79.0,521.35,2020-05-18,2020-05-15,-1.0,34.0503,-118.3212,Central L.A.
54,Covina,173.0,267.55,2020-05-18,2020-05-15,12.0,34.09,-117.8903,San Gabriel Valley
55,Covina (Charter Oak),28.0,213.02,2020-05-18,2020-05-15,3.0,34.0994,-117.8464,San Gabriel Valley
56,Crenshaw District,64.0,462.8,2020-05-18,2020-05-15,3.0,34.0158,-118.3453,South L.A.
57,Crestview,78.0,686.14,2020-05-18,2020-05-15,0.0,34.0458,-118.3816,Westside
58,Cudahy,118.0,484.66,2020-05-18,2020-05-15,4.0,33.9609,-118.1858,Southeast
59,Culver City,128.0,321.08,2020-05-18,2020-05-15,5.0,34.0211,-118.3965,Westside
60,Del Aire,12.0,273.16,2020-05-18,2020-05-15,0.0,33.9161,-118.3695,South Bay
61,Del Rey,63.0,210.45,2020-05-18,2020-05-15,2.0,33.9878,-118.4229,Westside
62,Del Sur,2.0,82.82,2020-05-18,2020-05-15,0.0,,,
63,Desert View Highlands,5.0,200.56,2020-05-18,2020-05-15,0.0,,,
64,Diamond Bar,49.0,85.2,2020-05-18,2020-05-15,2.0,34.0286,-117.8103,San Gabriel Valley
65,Downey,437.0,382.45,2020-05-18,2020-05-15,75.0,33.9451,-118.1281,Southeast
66,Downtown,97.0,352.64,2020-05-18,2020-05-15,2.0,34.0422,-118.2488,Central L.A.
67,Duarte,109.0,431.5,2020-05-18,2020-05-15,1.0,34.1607,-117.9504,San Gabriel Valley
68,Eagle Rock,141.0,356.16,2020-05-18,2020-05-15,1.0,34.1322,-118.2117,Northeast L.A.
69,East Covina,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
70,East Hollywood,190.0,648.75,2020-05-18,2020-05-15,6.0,34.0948,-118.291,Central L.A.
71,East La Mirada,10.0,188.96,2020-05-18,2020-05-15,0.0,,,
72,East Lancaster,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
73,East Los Angeles,564.0,450.23,2020-05-18,2020-05-15,24.0,34.0316,-118.1724,Eastside
74,East Pasadena,3.0,46.85,2020-05-18,2020-05-15,2.0,,,
75,East Rancho Dominguez,33.0,215.57,2020-05-18,2020-05-15,3.0,33.898070000000004,-118.19535,Southeast
76,East Whittier,7.0,131.93,2020-05-18,2020-05-15,1.0,,,
77,Echo Park,40.0,280.58,2020-05-18,2020-05-15,4.0,34.0782,-118.2606,Central L.A.
78,El Camino Village,16.0,182.0,2020-05-18,2020-05-15,2.0,33.8895,-118.3309,South Bay
79,El Monte,326.0,277.99,2020-05-18,2020-05-15,27.0,34.0733,-118.0275,San Gabriel Valley
80,El Segundo,32.0,190.64,2020-05-18,2020-05-15,1.0,33.9192,-118.4165,South Bay
81,El Sereno,137.0,327.69,2020-05-18,2020-05-15,10.0,34.0875,-118.1715,Eastside
82,Elizabeth Lake,3.0,180.61,2020-05-18,2020-05-15,0.0,,,
83,Elysian Park,13.0,227.59,2020-05-18,2020-05-15,1.0,34.0838,-118.2366,Central L.A.
84,Elysian Valley,38.0,373.61,2020-05-18,2020-05-15,1.0,34.0967,-118.2427,Central L.A.
85,Encino,115.0,254.58,2020-05-18,2020-05-15,7.0,34.1517,-118.5214,San Fernando Valley
86,Exposition,6.0,180.4,2020-05-18,2020-05-15,0.0,,,
87,Exposition Park,203.0,451.94,2020-05-18,2020-05-15,9.0,34.0147,-118.2872,South L.A.
88,Faircrest Heights,4.0,111.11,2020-05-18,2020-05-15,0.0,,,
89,Figueroa Park Square,28.0,321.06,2020-05-18,2020-05-15,3.0,33.9602,-118.28399999999999,South L.A.
90,Florence-Firestone,638.0,579.55,2020-05-18,2020-05-15,55.0,33.9632,-118.2426,South L.A.
91,Franklin Canyon,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
92,Gardena,207.0,337.63,2020-05-18,2020-05-15,3.0,33.8938,-118.30799999999999,South Bay
93,Glassell Park,153.0,484.12,2020-05-18,2020-05-15,3.0,34.1161,-118.229,Northeast L.A.
94,Glendale,853.0,413.09,2020-05-18,2020-05-15,36.0,34.1425,-118.2551,Verdugos
95,Glendora,96.0,303.03,2020-05-18,2020-05-15,8.0,34.1361,-117.8653,San Gabriel Valley
96,Gramercy Place,51.0,473.8,2020-05-18,2020-05-15,4.0,34.0468,-118.3127,Central L.A.
97,Granada Hills,226.0,388.38,2020-05-18,2020-05-15,18.0,34.2794,-118.5022,San Fernando Valley
98,Green Meadows,117.0,544.06,2020-05-18,2020-05-15,15.0,33.9556,-118.2694,South L.A.
99,Hacienda Heights,87.0,155.56,2020-05-18,2020-05-15,7.0,33.9931,-117.9687,San Gabriel Valley
100,Hancock Park,71.0,416.69,2020-05-18,2020-05-15,-1.0,34.0745,-118.3304,Central L.A.
101,Harbor City,65.0,223.6,2020-05-18,2020-05-15,2.0,33.79,-118.2978,Harbor
102,Harbor Gateway,104.0,238.53,2020-05-18,2020-05-15,4.0,33.8501,-118.2991,Harbor
103,Harbor Pines,8.0,332.09,2020-05-18,2020-05-15,2.0,,,
104,Harvard Heights,98.0,543.39,2020-05-18,2020-05-15,6.0,34.044000000000004,-118.3042,Central L.A.
105,Harvard Park,213.0,561.49,2020-05-18,2020-05-15,16.0,33.9841,-118.3042,South L.A.
106,Hawaiian Gardens,23.0,156.72,2020-05-18,2020-05-15,3.0,33.8314,-118.0728,Harbor
107,Hawthorne,314.0,349.15,2020-05-18,2020-05-15,23.0,33.9194,-118.354,South Bay
108,Hermosa Beach,26.0,132.18,2020-05-18,2020-05-15,1.0,33.8621,-118.4,South Bay
109,Hi Vista,0.0,0.0,2020-05-18,2020-05-15,0.0,,,
110,Hidden Hills,1.0,52.91,2020-05-18,2020-05-15,0.0,,,
111,Highland Park,145.0,299.64,2020-05-18,2020-05-15,13.0,34.1145,-118.1842,Northeast L.A.
112,Historic Filipinotown,97.0,699.35,2020-05-18,2020-05-15,3.0,34.0703,-118.26799999999999,Central L.A.
113,Hollywood,231.0,338.44,2020-05-18,2020-05-15,3.0,34.1016,-118.3337,Central L.A.
114,Hollywood Hills,76.0,258.2,2020-05-18,2020-05-15,2.0,34.1341,-118.3215,Central L.A.
115,Huntington Park,267.0,448.86,2020-05-18,2020-05-15,14.0,33.9849,-118.2278,Southeast
116,Hyde Park,112.0,392.42,2020-05-18,2020-05-15,6.0,33.9819,-118.3309,South L.A.
117,Industry,10.0,2288.33,2020-05-18,2020-05-15,0.0,,,
118,Inglewood,487.0,428.77,2020-05-18,2020-05-15,28.0,33.961,-118.3554,South Bay
119,Irwindale,4.0,274.16,2020-05-18,2020-05-15,0.0,,,
120,Jefferson Park,29.0,359.22,2020-05-18,2020-05-15,0.0,34.0272,-118.3176,South L.A.
121,Kagel/Lopez Canyons,4.0,283.29,2020-05-18,2020-05-15,0.0,,,
122,Koreatown,210.0,406.24,2020-05-18,2020-05-15,7.0,34.0578,-118.3009,Central L.A.
123,La Canada Flintridge,47.0,227.13,2020-05-18,2020-05-15,0.0,34.2091,-118.2001,Verdugos
124,La Crescenta-Montrose,24.0,121.21,2020-05-18,2020-05-15,0.0,34.2288,-118.2351,Verdugos
125,La Habra Heights,8.0,146.65,2020-05-18,2020-05-15,0.0,,,
126,La Mirada,129.0,260.09,2020-05-18,2020-05-15,21.0,33.919000000000004,-118.0105,Southeast
