,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,11.0,138.0,2020-05-26,2020-05-23,0.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,48.0,585.22,2020-05-26,2020-05-23,6.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,35.0,167.6,2020-05-26,2020-05-23,2.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,7.0,168.35,2020-05-26,2020-05-23,1.0,,,
4,Alhambra,182.0,209.86,2020-05-26,2020-05-23,10.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,47.0,377.66,2020-05-26,2020-05-23,2.0,33.9786,-118.4156,Westside
6,Altadena,143.0,327.83,2020-05-26,2020-05-23,8.0,34.1902,-118.1313,Verdugos
7,Anaverde,1.0,66.31,2020-05-26,2020-05-23,0.0,,,
8,Angeles National Forest,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
9,Angelino Heights,16.0,639.49,2020-05-26,2020-05-23,1.0,34.0703,-118.2548,Central L.A.
10,Arcadia,87.0,138.52,2020-05-26,2020-05-23,8.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,258.0,750.65,2020-05-26,2020-05-23,17.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,30.0,178.62,2020-05-26,2020-05-23,4.0,33.8658,-118.0831,Southeast
13,Athens Village,25.0,510.52,2020-05-26,2020-05-23,3.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,217.0,511.29,2020-05-26,2020-05-23,20.0,33.9238,-118.3019,South L.A.
15,Atwater Village,48.0,327.29,2020-05-26,2020-05-23,1.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
17,Avocado Heights,23.0,339.48,2020-05-26,2020-05-23,3.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,210.0,357.97,2020-05-26,2020-05-23,26.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,154.0,494.78,2020-05-26,2020-05-23,10.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,286.0,372.55,2020-05-26,2020-05-23,38.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,82.0,553.42,2020-05-26,2020-05-23,8.0,34.0758,-118.3678,Central L.A.
22,Bel Air,34.0,403.37,2020-05-26,2020-05-23,1.0,34.0833,-118.4487,Westside
23,Bell,285.0,784.43,2020-05-26,2020-05-23,40.0,33.9761,-118.1851,Southeast
24,Bell Gardens,257.0,596.69,2020-05-26,2020-05-23,48.0,33.9653,-118.1515,Southeast
25,Bellflower,357.0,459.25,2020-05-26,2020-05-23,48.0,33.88221,-118.118,Southeast
26,Beverly Crest,37.0,295.41,2020-05-26,2020-05-23,0.0,34.1024,-118.4163,Westside
27,Beverly Hills,134.0,388.18,2020-05-26,2020-05-23,6.0,34.0736,-118.4004,Westside
28,Beverlywood,37.0,280.88,2020-05-26,2020-05-23,3.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
30,Boyle Heights,624.0,718.2,2020-05-26,2020-05-23,100.0,34.0339,-118.2054,Eastside
31,Bradbury,3.0,280.64,2020-05-26,2020-05-23,0.0,,,
32,Brentwood,75.0,242.29,2020-05-26,2020-05-23,0.0,34.0519,-118.4731,Westside
33,Brookside,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
34,Burbank,390.0,363.87,2020-05-26,2020-05-23,20.0,34.1808,-118.309,San Fernando Valley
35,Cadillac-Corning,29.0,407.25,2020-05-26,2020-05-23,2.0,34.040282,-118.38025,Central L.A.
36,Calabasas,58.0,238.46,2020-05-26,2020-05-23,5.0,34.1383,-118.6608,Santa Monica Mountains
37,Canoga Park,472.0,722.94,2020-05-26,2020-05-23,23.0,34.2011,-118.5981,San Fernando Valley
38,Canyon Country,36.0,465.84,2020-05-26,2020-05-23,1.0,34.4245,-118.4711,Northwest County
39,Carson,387.0,412.38,2020-05-26,2020-05-23,18.0,33.8374,-118.2559,Harbor
40,Carthay,76.0,529.14,2020-05-26,2020-05-23,4.0,34.0573,-118.3679,Central L.A.
41,Castaic,321.0,1180.54,2020-05-26,2020-05-23,20.0,34.4889,-118.6229,Northwest County
42,Central,357.0,915.57,2020-05-26,2020-05-23,41.0,34.0833,-118.4487,Westside
43,Century City,32.0,250.16,2020-05-26,2020-05-23,0.0,34.0556,-118.4179,Westside
44,Century Palms/Cove,221.0,654.5,2020-05-26,2020-05-23,35.0,33.9461,-118.2732,South L.A.
45,Cerritos,114.0,227.69,2020-05-26,2020-05-23,10.0,33.8584,-118.0648,Southeast
46,Charter Oak,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
47,Chatsworth,180.0,485.69,2020-05-26,2020-05-23,11.0,34.2506,-118.6148,San Fernando Valley
48,Cheviot Hills,20.0,218.08,2020-05-26,2020-05-23,0.0,34.0458,-118.4079,Westside
49,Chinatown,20.0,249.35,2020-05-26,2020-05-23,3.0,34.0623,-118.2383,Central L.A.
50,Claremont,36.0,98.67,2020-05-26,2020-05-23,2.0,34.1261,-117.7158,Pomona Valley
51,Cloverdale/Cochran,58.0,398.54,2020-05-26,2020-05-23,3.0,34.0626,-118.3465,Central L.A.
52,Commerce,57.0,436.15,2020-05-26,2020-05-23,14.0,34.0006,-118.1598,Southeast
53,Compton,502.0,502.48,2020-05-26,2020-05-23,59.0,33.8958,-118.2201,Southeast
54,Country Club Park,92.0,607.14,2020-05-26,2020-05-23,9.0,34.0503,-118.3212,Central L.A.
55,Covina,210.0,332.96,2020-05-26,2020-05-23,15.0,34.09,-117.8903,San Gabriel Valley
56,Covina (Charter Oak),40.0,304.32,2020-05-26,2020-05-23,5.0,34.0994,-117.8464,San Gabriel Valley
57,Crenshaw District,67.0,484.49,2020-05-26,2020-05-23,0.0,34.0158,-118.3453,South L.A.
58,Crestview,86.0,756.51,2020-05-26,2020-05-23,5.0,34.0458,-118.3816,Westside
59,Cudahy,200.0,821.46,2020-05-26,2020-05-23,42.0,33.9609,-118.1858,Southeast
60,Culver City,137.0,343.66,2020-05-26,2020-05-23,2.0,34.0211,-118.3965,Westside
61,Del Aire,13.0,295.93,2020-05-26,2020-05-23,1.0,33.9161,-118.3695,South Bay
62,Del Rey,69.0,230.49,2020-05-26,2020-05-23,2.0,33.9878,-118.4229,Westside
63,Del Sur,2.0,82.82,2020-05-26,2020-05-23,0.0,,,
64,Desert View Highlands,6.0,240.67,2020-05-26,2020-05-23,1.0,,,
65,Diamond Bar,57.0,99.1,2020-05-26,2020-05-23,2.0,34.0286,-117.8103,San Gabriel Valley
66,Downey,578.0,505.85,2020-05-26,2020-05-23,59.0,33.9451,-118.1281,Southeast
67,Downtown,132.0,479.88,2020-05-26,2020-05-23,10.0,34.0422,-118.2488,Central L.A.
68,Duarte,126.0,504.18,2020-05-26,2020-05-23,6.0,34.1607,-117.9504,San Gabriel Valley
69,Eagle Rock,169.0,426.89,2020-05-26,2020-05-23,10.0,34.1322,-118.2117,Northeast L.A.
70,East Covina,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
71,East Hollywood,214.0,730.7,2020-05-26,2020-05-23,6.0,34.0948,-118.291,Central L.A.
72,East La Mirada,15.0,283.45,2020-05-26,2020-05-23,2.0,,,
73,East Lancaster,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
74,East Los Angeles,834.0,665.77,2020-05-26,2020-05-23,122.0,34.0316,-118.1724,Eastside
75,East Pasadena,3.0,46.85,2020-05-26,2020-05-23,0.0,,,
76,East Rancho Dominguez,45.0,293.96,2020-05-26,2020-05-23,7.0,33.898070000000004,-118.19535,Southeast
77,East Whittier,9.0,169.62,2020-05-26,2020-05-23,1.0,,,
78,Echo Park,43.0,301.63,2020-05-26,2020-05-23,2.0,34.0782,-118.2606,Central L.A.
79,El Camino Village,26.0,295.76,2020-05-26,2020-05-23,4.0,33.8895,-118.3309,South Bay
80,El Monte,456.0,388.85,2020-05-26,2020-05-23,54.0,34.0733,-118.0275,San Gabriel Valley
81,El Segundo,31.0,184.68,2020-05-26,2020-05-23,-1.0,33.9192,-118.4165,South Bay
82,El Sereno,154.0,368.35,2020-05-26,2020-05-23,7.0,34.0875,-118.1715,Eastside
83,Elizabeth Lake,3.0,180.61,2020-05-26,2020-05-23,0.0,,,
84,Elysian Park,16.0,280.11,2020-05-26,2020-05-23,0.0,34.0838,-118.2366,Central L.A.
85,Elysian Valley,50.0,491.59,2020-05-26,2020-05-23,5.0,34.0967,-118.2427,Central L.A.
86,Encino,120.0,265.65,2020-05-26,2020-05-23,4.0,34.1517,-118.5214,San Fernando Valley
87,Exposition,8.0,240.53,2020-05-26,2020-05-23,1.0,,,
88,Exposition Park,238.0,529.87,2020-05-26,2020-05-23,20.0,34.0147,-118.2872,South L.A.
89,Faircrest Heights,4.0,111.11,2020-05-26,2020-05-23,0.0,,,
90,Figueroa Park Square,36.0,412.8,2020-05-26,2020-05-23,2.0,33.9602,-118.28399999999999,South L.A.
91,Florence-Firestone,883.0,829.92,2020-05-26,2020-05-23,114.0,33.9632,-118.2426,South L.A.
92,Franklin Canyon,0.0,0.0,2020-05-26,2020-05-23,0.0,,,
93,Gardena,249.0,406.13,2020-05-26,2020-05-23,18.0,33.8938,-118.30799999999999,South Bay
94,Glassell Park,178.0,563.22,2020-05-26,2020-05-23,10.0,34.1161,-118.229,Northeast L.A.
95,Glendale,943.0,456.67,2020-05-26,2020-05-23,46.0,34.1425,-118.2551,Verdugos
96,Glendora,135.0,303.03,2020-05-26,2020-05-23,7.0,34.1361,-117.8653,San Gabriel Valley
97,Gramercy Place,62.0,575.99,2020-05-26,2020-05-23,9.0,34.0468,-118.3127,Central L.A.
98,Granada Hills,294.0,505.23,2020-05-26,2020-05-23,33.0,34.2794,-118.5022,San Fernando Valley
99,Green Meadows,150.0,697.51,2020-05-26,2020-05-23,17.0,33.9556,-118.2694,South L.A.
100,Hacienda Heights,126.0,225.3,2020-05-26,2020-05-23,13.0,33.9931,-117.9687,San Gabriel Valley
101,Hancock Park,76.0,446.04,2020-05-26,2020-05-23,1.0,34.0745,-118.3304,Central L.A.
