,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,8.0,100.36,2020-05-12,2020-05-09,0.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,33.0,402.34,2020-05-12,2020-05-09,1.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,32.0,153.23,2020-05-12,2020-05-09,1.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,3.0,72.15,2020-05-12,2020-05-09,1.0,,,
4,Alhambra,130.0,149.9,2020-05-12,2020-05-09,17.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,36.0,289.27,2020-05-12,2020-05-09,2.0,33.9786,-118.4156,Westside
6,Altadena,105.0,240.72,2020-05-12,2020-05-09,12.0,34.1902,-118.1313,Verdugos
7,Anaverde,1.0,66.31,2020-05-12,2020-05-09,0.0,,,
8,Angeles National Forest,0.0,0.0,2020-05-12,2020-05-09,0.0,,,
9,Angelino Heights,11.0,439.65,2020-05-12,2020-05-09,1.0,34.0703,-118.2548,Central L.A.
10,Arcadia,63.0,102.16,2020-05-12,2020-05-09,7.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,172.0,500.44,2020-05-12,2020-05-09,21.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,15.0,89.31,2020-05-12,2020-05-09,0.0,33.8658,-118.0831,Southeast
13,Athens Village,20.0,408.41,2020-05-12,2020-05-09,4.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,141.0,332.22,2020-05-12,2020-05-09,10.0,33.9238,-118.3019,South L.A.
15,Atwater Village,38.0,259.1,2020-05-12,2020-05-09,4.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-05-12,2020-05-09,0.0,,,
17,Avocado Heights,14.0,206.64,2020-05-12,2020-05-09,0.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,140.0,213.53,2020-05-12,2020-05-09,7.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,97.0,311.65,2020-05-12,2020-05-09,6.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,158.0,205.81,2020-05-12,2020-05-09,14.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,39.0,263.21,2020-05-12,2020-05-09,3.0,34.0758,-118.3678,Central L.A.
22,Bel Air,31.0,367.78,2020-05-12,2020-05-09,0.0,34.0833,-118.4487,Westside
23,Bell,163.0,448.64,2020-05-12,2020-05-09,12.0,33.9761,-118.1851,Southeast
24,Bell Gardens,140.0,325.04,2020-05-12,2020-05-09,7.0,33.9653,-118.1515,Southeast
25,Bellflower,188.0,241.85,2020-05-12,2020-05-09,9.0,33.88221,-118.118,Southeast
26,Beverly Crest,35.0,279.44,2020-05-12,2020-05-09,1.0,34.1024,-118.4163,Westside
27,Beverly Hills,120.0,347.62,2020-05-12,2020-05-09,2.0,34.0736,-118.4004,Westside
28,Beverlywood,34.0,258.1,2020-05-12,2020-05-09,1.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,0.0,0.0,2020-05-12,2020-05-09,0.0,,,
30,Boyle Heights,337.0,387.87,2020-05-12,2020-05-09,35.0,34.0339,-118.2054,Eastside
31,Bradbury,2.0,187.09,2020-05-12,2020-05-09,0.0,,,
32,Brentwood,70.0,226.13,2020-05-12,2020-05-09,2.0,34.0519,-118.4731,Westside
