,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,10.0,125.45,2020-05-21,2020-05-18,0.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,40.0,487.69,2020-05-21,2020-05-18,3.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,33.0,158.02,2020-05-21,2020-05-18,,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,6.0,144.3,2020-05-21,2020-05-18,2.0,,,
4,Alhambra,163.0,187.95,2020-05-21,2020-05-18,14.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,44.0,353.56,2020-05-21,2020-05-18,2.0,33.9786,-118.4156,Westside
6,Altadena,129.0,295.74,2020-05-21,2020-05-18,5.0,34.1902,-118.1313,Verdugos
7,Anaverde,1.0,66.31,2020-05-21,2020-05-18,0.0,,,
8,Angeles National Forest,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
9,Angelino Heights,14.0,559.55,2020-05-21,2020-05-18,1.0,34.0703,-118.2548,Central L.A.
10,Arcadia,75.0,119.47,2020-05-21,2020-05-18,4.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,217.0,631.36,2020-05-21,2020-05-18,13.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,22.0,130.99,2020-05-21,2020-05-18,1.0,33.8658,-118.0831,Southeast
13,Athens Village,22.0,449.25,2020-05-21,2020-05-18,0.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,189.0,445.31,2020-05-21,2020-05-18,19.0,33.9238,-118.3019,South L.A.
15,Atwater Village,43.0,293.2,2020-05-21,2020-05-18,2.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
17,Avocado Heights,19.0,280.44,2020-05-21,2020-05-18,4.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,173.0,282.61,2020-05-21,2020-05-18,14.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,142.0,456.22,2020-05-21,2020-05-18,22.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,224.0,291.78,2020-05-21,2020-05-18,29.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,71.0,479.18,2020-05-21,2020-05-18,22.0,34.0758,-118.3678,Central L.A.
22,Bel Air,33.0,391.51,2020-05-21,2020-05-18,1.0,34.0833,-118.4487,Westside
23,Bell,232.0,638.56,2020-05-21,2020-05-18,45.0,33.9761,-118.1851,Southeast
24,Bell Gardens,194.0,450.42,2020-05-21,2020-05-18,32.0,33.9653,-118.1515,Southeast
25,Bellflower,300.0,385.93,2020-05-21,2020-05-18,45.0,33.88221,-118.118,Southeast
26,Beverly Crest,36.0,287.43,2020-05-21,2020-05-18,0.0,34.1024,-118.4163,Westside
27,Beverly Hills,126.0,365.01,2020-05-21,2020-05-18,1.0,34.0736,-118.4004,Westside
28,Beverlywood,33.0,250.51,2020-05-21,2020-05-18,-1.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
30,Boyle Heights,496.0,570.88,2020-05-21,2020-05-18,95.0,34.0339,-118.2054,Eastside
31,Bradbury,3.0,280.64,2020-05-21,2020-05-18,1.0,,,
32,Brentwood,74.0,239.06,2020-05-21,2020-05-18,0.0,34.0519,-118.4731,Westside
33,Brookside,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
34,Burbank,363.0,338.68,2020-05-21,2020-05-18,13.0,34.1808,-118.309,San Fernando Valley
35,Cadillac-Corning,27.0,379.16,2020-05-21,2020-05-18,1.0,34.040282,-118.38025,Central L.A.
36,Calabasas,52.0,213.79,2020-05-21,2020-05-18,1.0,34.1383,-118.6608,Santa Monica Mountains
37,Canoga Park,441.0,675.46,2020-05-21,2020-05-18,13.0,34.2011,-118.5981,San Fernando Valley
38,Canyon Country,35.0,452.9,2020-05-21,2020-05-18,2.0,34.4245,-118.4711,Northwest County
39,Carson,361.0,384.67,2020-05-21,2020-05-18,16.0,33.8374,-118.2559,Harbor
40,Carthay,72.0,501.29,2020-05-21,2020-05-18,1.0,34.0573,-118.3679,Central L.A.
41,Castaic,287.0,1055.5,2020-05-21,2020-05-18,11.0,34.4889,-118.6229,Northwest County
42,Central,277.0,710.4,2020-05-21,2020-05-18,36.0,34.0833,-118.4487,Westside
43,Century City,32.0,250.16,2020-05-21,2020-05-18,-2.0,34.0556,-118.4179,Westside
44,Century Palms/Cove,174.0,515.31,2020-05-21,2020-05-18,12.0,33.9461,-118.2732,South L.A.
45,Cerritos,98.0,195.74,2020-05-21,2020-05-18,10.0,33.8584,-118.0648,Southeast
46,Charter Oak,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
47,Chatsworth,160.0,431.72,2020-05-21,2020-05-18,4.0,34.2506,-118.6148,San Fernando Valley
48,Cheviot Hills,19.0,207.17,2020-05-21,2020-05-18,0.0,34.0458,-118.4079,Westside
49,Chinatown,15.0,187.01,2020-05-21,2020-05-18,1.0,34.0623,-118.2383,Central L.A.
50,Claremont,33.0,90.45,2020-05-21,2020-05-18,1.0,34.1261,-117.7158,Pomona Valley
51,Cloverdale/Cochran,53.0,364.19,2020-05-21,2020-05-18,1.0,34.0626,-118.3465,Central L.A.
52,Commerce,41.0,313.72,2020-05-21,2020-05-18,18.0,34.0006,-118.1598,Southeast
53,Compton,419.0,419.4,2020-05-21,2020-05-18,54.0,33.8958,-118.2201,Southeast
54,Country Club Park,82.0,541.15,2020-05-21,2020-05-18,3.0,34.0503,-118.3212,Central L.A.
55,Covina,188.0,309.17,2020-05-21,2020-05-18,15.0,34.09,-117.8903,San Gabriel Valley
56,Covina (Charter Oak),35.0,266.28,2020-05-21,2020-05-18,7.0,34.0994,-117.8464,San Gabriel Valley
57,Crenshaw District,66.0,477.26,2020-05-21,2020-05-18,2.0,34.0158,-118.3453,South L.A.
58,Crestview,79.0,694.93,2020-05-21,2020-05-18,1.0,34.0458,-118.3816,Westside
59,Cudahy,147.0,603.77,2020-05-21,2020-05-18,29.0,33.9609,-118.1858,Southeast
60,Culver City,134.0,336.13,2020-05-21,2020-05-18,6.0,34.0211,-118.3965,Westside
61,Del Aire,12.0,273.16,2020-05-21,2020-05-18,0.0,33.9161,-118.3695,South Bay
62,Del Rey,65.0,217.13,2020-05-21,2020-05-18,2.0,33.9878,-118.4229,Westside
63,Del Sur,2.0,82.82,2020-05-21,2020-05-18,0.0,,,
64,Desert View Highlands,5.0,200.56,2020-05-21,2020-05-18,0.0,,,
65,Diamond Bar,54.0,93.89,2020-05-21,2020-05-18,5.0,34.0286,-117.8103,San Gabriel Valley
66,Downey,483.0,422.71,2020-05-21,2020-05-18,46.0,33.9451,-118.1281,Southeast
67,Downtown,115.0,418.08,2020-05-21,2020-05-18,18.0,34.0422,-118.2488,Central L.A.
68,Duarte,115.0,454.22,2020-05-21,2020-05-18,6.0,34.1607,-117.9504,San Gabriel Valley
69,Eagle Rock,150.0,378.89,2020-05-21,2020-05-18,9.0,34.1322,-118.2117,Northeast L.A.
70,East Covina,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
71,East Hollywood,197.0,672.65,2020-05-21,2020-05-18,7.0,34.0948,-118.291,Central L.A.
72,East La Mirada,11.0,207.86,2020-05-21,2020-05-18,1.0,,,
73,East Lancaster,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
74,East Los Angeles,659.0,526.07,2020-05-21,2020-05-18,95.0,34.0316,-118.1724,Eastside
75,East Pasadena,3.0,46.85,2020-05-21,2020-05-18,0.0,,,
76,East Rancho Dominguez,36.0,235.17,2020-05-21,2020-05-18,3.0,33.898070000000004,-118.19535,Southeast
77,East Whittier,7.0,131.93,2020-05-21,2020-05-18,0.0,,,
78,Echo Park,41.0,287.6,2020-05-21,2020-05-18,1.0,34.0782,-118.2606,Central L.A.
79,El Camino Village,19.0,216.13,2020-05-21,2020-05-18,3.0,33.8895,-118.3309,South Bay
80,El Monte,371.0,316.37,2020-05-21,2020-05-18,45.0,34.0733,-118.0275,San Gabriel Valley
81,El Segundo,32.0,190.64,2020-05-21,2020-05-18,0.0,33.9192,-118.4165,South Bay
82,El Sereno,144.0,344.43,2020-05-21,2020-05-18,7.0,34.0875,-118.1715,Eastside
83,Elizabeth Lake,3.0,180.61,2020-05-21,2020-05-18,0.0,,,
84,Elysian Park,16.0,280.11,2020-05-21,2020-05-18,3.0,34.0838,-118.2366,Central L.A.
85,Elysian Valley,42.0,412.94,2020-05-21,2020-05-18,4.0,34.0967,-118.2427,Central L.A.
86,Encino,115.0,254.58,2020-05-21,2020-05-18,0.0,34.1517,-118.5214,San Fernando Valley
87,Exposition,7.0,210.46,2020-05-21,2020-05-18,1.0,,,
88,Exposition Park,212.0,471.98,2020-05-21,2020-05-18,9.0,34.0147,-118.2872,South L.A.
89,Faircrest Heights,4.0,111.11,2020-05-21,2020-05-18,0.0,,,
90,Figueroa Park Square,33.0,378.4,2020-05-21,2020-05-18,5.0,33.9602,-118.28399999999999,South L.A.
91,Florence-Firestone,714.0,669.19,2020-05-21,2020-05-18,76.0,33.9632,-118.2426,South L.A.
92,Franklin Canyon,0.0,0.0,2020-05-21,2020-05-18,0.0,,,
93,Gardena,220.0,358.83,2020-05-21,2020-05-18,13.0,33.8938,-118.30799999999999,South Bay
94,Glassell Park,169.0,534.74,2020-05-21,2020-05-18,16.0,34.1161,-118.229,Northeast L.A.
95,Glendale,876.0,424.23,2020-05-21,2020-05-18,23.0,34.1425,-118.2551,Verdugos
96,Glendora,111.0,303.03,2020-05-21,2020-05-18,15.0,34.1361,-117.8653,San Gabriel Valley
