,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,10.0,125.45,2020-05-17,2020-05-14,1.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,37.0,451.11,2020-05-17,2020-05-14,4.0,34.0343,-118.2993,South L.A.
2,Agua Dulce,4.0,96.2,2020-05-17,2020-05-14,1.0,,,
3,Alhambra,149.0,171.81,2020-05-17,2020-05-14,10.0,34.0953,-118.12700000000001,San Gabriel Valley
4,Alsace,40.0,321.41,2020-05-17,2020-05-14,3.0,33.9786,-118.4156,Westside
5,Altadena,124.0,284.27,2020-05-17,2020-05-14,9.0,34.1902,-118.1313,Verdugos
6,Anaverde,1.0,66.31,2020-05-17,2020-05-14,0.0,,,
7,Angeles National Forest,0.0,0.0,2020-05-17,2020-05-14,0.0,,,
8,Angelino Heights,12.0,479.62,2020-05-17,2020-05-14,1.0,34.0703,-118.2548,Central L.A.
9,Arcadia,71.0,112.55,2020-05-17,2020-05-14,4.0,34.1397,-118.0353,San Gabriel Valley
10,Arleta,200.0,581.9,2020-05-17,2020-05-14,18.0,34.2419,-118.4256,San Fernando Valley
11,Artesia,20.0,119.08,2020-05-17,2020-05-14,1.0,33.8658,-118.0831,Southeast
12,Athens Village,22.0,449.25,2020-05-17,2020-05-14,2.0,33.92,-118.2812,South L.A.
13,Athens-Westmont,169.0,398.19,2020-05-17,2020-05-14,15.0,33.9238,-118.3019,South L.A.
14,Atwater Village,41.0,279.56,2020-05-17,2020-05-14,2.0,34.1173,-118.2614,Northeast L.A.
15,Avalon,0.0,0.0,2020-05-17,2020-05-14,0.0,,,
16,Avocado Heights,15.0,221.4,2020-05-17,2020-05-14,1.0,34.0361,-117.9912,San Gabriel Valley
17,Azusa,157.0,244.93,2020-05-17,2020-05-14,7.0,34.1336,-117.9076,San Gabriel Valley
18,Baldwin Hills,115.0,369.48,2020-05-17,2020-05-14,16.0,34.0047,-118.3415,South L.A.
19,Baldwin Park,192.0,250.1,2020-05-17,2020-05-14,14.0,34.0853,-117.9609,San Gabriel Valley
20,Bassett,49.0,330.7,2020-05-17,2020-05-14,5.0,34.0758,-118.3678,Central L.A.
21,Bel Air,32.0,379.64,2020-05-17,2020-05-14,0.0,34.0833,-118.4487,Westside
22,Bell,185.0,509.19,2020-05-17,2020-05-14,8.0,33.9761,-118.1851,Southeast
23,Bell Gardens,159.0,369.16,2020-05-17,2020-05-14,7.0,33.9653,-118.1515,Southeast
24,Bellflower,247.0,317.75,2020-05-17,2020-05-14,24.0,33.88221,-118.118,Southeast
25,Beverly Crest,36.0,287.43,2020-05-17,2020-05-14,1.0,34.1024,-118.4163,Westside
26,Beverly Hills,125.0,362.11,2020-05-17,2020-05-14,2.0,34.0736,-118.4004,Westside
27,Beverlywood,34.0,258.1,2020-05-17,2020-05-14,0.0,34.0409,-118.3919,Westside
28,Bouquet Canyon,0.0,0.0,2020-05-17,2020-05-14,0.0,,,
29,Boyle Heights,399.0,459.23,2020-05-17,2020-05-14,39.0,34.0339,-118.2054,Eastside
30,Bradbury,2.0,187.09,2020-05-17,2020-05-14,0.0,,,
31,Brentwood,74.0,239.06,2020-05-17,2020-05-14,3.0,34.0519,-118.4731,Westside
32,Brookside,0.0,0.0,2020-05-17,2020-05-14,0.0,,,
33,Burbank,345.0,321.89,2020-05-17,2020-05-14,16.0,34.1808,-118.309,San Fernando Valley
34,Cadillac-Corning,26.0,365.12,2020-05-17,2020-05-14,1.0,34.040282,-118.38025,Central L.A.
35,Calabasas,51.0,209.68,2020-05-17,2020-05-14,2.0,34.1383,-118.6608,Santa Monica Mountains
36,Canoga Park,425.0,650.95,2020-05-17,2020-05-14,19.0,34.2011,-118.5981,San Fernando Valley
37,Canyon Country,33.0,427.02,2020-05-17,2020-05-14,3.0,34.4245,-118.4711,Northwest County
38,Carson,344.0,366.56,2020-05-17,2020-05-14,17.0,33.8374,-118.2559,Harbor
39,Carthay,71.0,494.33,2020-05-17,2020-05-14,0.0,34.0573,-118.3679,Central L.A.
40,Castaic,276.0,1015.04,2020-05-17,2020-05-14,23.0,34.4889,-118.6229,Northwest County
41,Central,237.0,607.82,2020-05-17,2020-05-14,21.0,34.0833,-118.4487,Westside
42,Century City,33.0,257.97,2020-05-17,2020-05-14,1.0,34.0556,-118.4179,Westside
43,Century Palms/Cove,158.0,467.93,2020-05-17,2020-05-14,17.0,33.9461,-118.2732,South L.A.
44,Cerritos,86.0,171.77,2020-05-17,2020-05-14,4.0,33.8584,-118.0648,Southeast
45,Charter Oak,0.0,0.0,2020-05-17,2020-05-14,0.0,,,
46,Chatsworth,153.0,412.83,2020-05-17,2020-05-14,12.0,34.2506,-118.6148,San Fernando Valley
47,Cheviot Hills,19.0,207.17,2020-05-17,2020-05-14,0.0,34.0458,-118.4079,Westside
48,Chinatown,14.0,174.54,2020-05-17,2020-05-14,1.0,34.0623,-118.2383,Central L.A.
49,Claremont,31.0,84.97,2020-05-17,2020-05-14,1.0,34.1261,-117.7158,Pomona Valley
50,Cloverdale/Cochran,50.0,343.57,2020-05-17,2020-05-14,4.0,34.0626,-118.3465,Central L.A.
51,Commerce,22.0,168.34,2020-05-17,2020-05-14,0.0,34.0006,-118.1598,Southeast
52,Compton,358.0,358.34,2020-05-17,2020-05-14,37.0,33.8958,-118.2201,Southeast
53,Country Club Park,79.0,521.35,2020-05-17,2020-05-14,-1.0,34.0503,-118.3212,Central L.A.
54,Covina,172.0,267.55,2020-05-17,2020-05-14,12.0,34.09,-117.8903,San Gabriel Valley
55,Covina (Charter Oak),27.0,205.42,2020-05-17,2020-05-14,2.0,34.0994,-117.8464,San Gabriel Valley
56,Crenshaw District,64.0,462.8,2020-05-17,2020-05-14,4.0,34.0158,-118.3453,South L.A.
57,Crestview,78.0,686.14,2020-05-17,2020-05-14,0.0,34.0458,-118.3816,Westside
58,Cudahy,116.0,476.44,2020-05-17,2020-05-14,4.0,33.9609,-118.1858,Southeast
59,Culver City,128.0,321.08,2020-05-17,2020-05-14,7.0,34.0211,-118.3965,Westside
60,Del Aire,12.0,273.16,2020-05-17,2020-05-14,1.0,33.9161,-118.3695,South Bay
61,Del Rey,62.0,207.11,2020-05-17,2020-05-14,1.0,33.9878,-118.4229,Westside
62,Del Sur,2.0,82.82,2020-05-17,2020-05-14,0.0,,,
63,Desert View Highlands,5.0,200.56,2020-05-17,2020-05-14,0.0,,,
64,Diamond Bar,49.0,85.2,2020-05-17,2020-05-14,3.0,34.0286,-117.8103,San Gabriel Valley
65,Downey,405.0,354.45,2020-05-17,2020-05-14,58.0,33.9451,-118.1281,Southeast
66,Downtown,97.0,352.64,2020-05-17,2020-05-14,2.0,34.0422,-118.2488,Central L.A.
67,Duarte,109.0,431.5,2020-05-17,2020-05-14,3.0,34.1607,-117.9504,San Gabriel Valley
68,Eagle Rock,142.0,358.69,2020-05-17,2020-05-14,2.0,34.1322,-118.2117,Northeast L.A.
69,East Covina,0.0,0.0,2020-05-17,2020-05-14,0.0,,,
70,East Hollywood,189.0,645.34,2020-05-17,2020-05-14,12.0,34.0948,-118.291,Central L.A.
71,East La Mirada,10.0,188.96,2020-05-17,2020-05-14,0.0,,,
72,East Lancaster,0.0,0.0,2020-05-17,2020-05-14,0.0,,,
73,East Los Angeles,558.0,445.44,2020-05-17,2020-05-14,28.0,34.0316,-118.1724,Eastside
74,East Pasadena,3.0,46.85,2020-05-17,2020-05-14,2.0,,,
