,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
111,Hidden Hills,1.0,52.91,2020-05-26,2020-05-23,0.0,,,
238,South Antelope Valley,1.0,219.78,2020-05-26,2020-05-23,0.0,,,
254,Sycamore Square,1.0,154.56,2020-05-26,2020-05-23,0.0,,,
110,Hi Vista,1.0,91.07,2020-05-26,2020-05-23,0.0,,,
223,San Pasqual,1.0,49.14,2020-05-26,2020-05-23,0.0,,,
191,Pellissier Village,1.0,161.55,2020-05-26,2020-05-23,1.0,,,
134,Lake Hughes,1.0,149.7,2020-05-26,2020-05-23,0.0,,,
158,Mandeville Canyon,1.0,32.01,2020-05-26,2020-05-23,0.0,,,
172,Newhall,1.0,454.55,2020-05-26,2020-05-23,0.0,,,
7,Anaverde,1.0,66.31,2020-05-26,2020-05-23,0.0,,,
151,Llano,1.0,114.03,2020-05-26,2020-05-23,0.0,,,
288,West Antelope Valley,2.0,132.36,2020-05-26,2020-05-23,0.0,,,
149,Littlerock/Juniper Hills,2.0,154.2,2020-05-26,2020-05-23,0.0,,,
226,Santa Catalina Island,2.0,749.06,2020-05-26,2020-05-23,0.0,,,
208,Rolling Hills,2.0,103.09,2020-05-26,2020-05-23,0.0,,,
63,Del Sur,2.0,82.82,2020-05-26,2020-05-23,0.0,,,
190,Pearblossom/Llano,2.0,102.25,2020-05-26,2020-05-23,0.0,,,
143,Leona Valley,2.0,114.22,2020-05-26,2020-05-23,0.0,,,
278,Vernon,2.0,956.94,2020-05-26,2020-05-23,1.0,,,
253,Sunrise Village,3.0,231.48,2020-05-26,2020-05-23,0.0,,,
195,Playa Del Rey,3.0,93.87,2020-05-26,2020-05-23,0.0,,,
204,Regent Square,3.0,107.91,2020-05-26,2020-05-23,0.0,,,
83,Elizabeth Lake,3.0,180.61,2020-05-26,2020-05-23,0.0,,,
75,East Pasadena,3.0,46.85,2020-05-26,2020-05-23,0.0,,,
31,Bradbury,3.0,280.64,2020-05-26,2020-05-23,0.0,,,
262,Toluca Woods,3.0,161.46,2020-05-26,2020-05-23,-1.0,,,
182,Palisades Highlands,3.0,78.0,2020-05-26,2020-05-23,0.0,,,
231,Saugus,4.0,2580.65,2020-05-26,2020-05-23,0.0,,,
136,Lake Manor,4.0,243.46,2020-05-26,2020-05-23,1.0,,,
120,Irwindale,4.0,274.16,2020-05-26,2020-05-23,0.0,,,
265,Twin Lakes/Oat Mountain,4.0,241.25,2020-05-26,2020-05-23,0.0,,,
89,Faircrest Heights,4.0,111.11,2020-05-26,2020-05-23,0.0,,,
212,Rosewood,5.0,388.8,2020-05-26,2020-05-23,0.0,,,
297,West Rancho Dominguez,5.0,367.92,2020-05-26,2020-05-23,0.0,,,
306,White Fence Farms,5.0,135.76,2020-05-26,2020-05-23,2.0,,,
175,North Lancaster,5.0,417.36,2020-05-26,2020-05-23,0.0,,,
261,Toluca Terrace,6.0,459.42,2020-05-26,2020-05-23,1.0,,,
64,Desert View Highlands,6.0,240.67,2020-05-26,2020-05-23,1.0,,,
269,Valencia,7.0,227.86,2020-05-26,2020-05-23,0.0,,,
3,Agua Dulce,7.0,168.35,2020-05-26,2020-05-23,1.0,,,
122,Kagel/Lopez Canyons,7.0,495.75,2020-05-26,2020-05-23,2.0,,,
126,La Habra Heights,8.0,146.65,2020-05-26,2020-05-23,0.0,,,
87,Exposition,8.0,240.53,2020-05-26,2020-05-23,1.0,,,
104,Harbor Pines,9.0,373.6,2020-05-26,2020-05-23,0.0,,,
77,East Whittier,9.0,169.62,2020-05-26,2020-05-23,1.0,,,
118,Industry,10.0,2288.33,2020-05-26,2020-05-23,0.0,,,
266,University Hills,11.0,320.79,2020-05-26,2020-05-23,0.0,,,
148,Littlerock,15.0,373.04,2020-05-26,2020-05-23,0.0,,,
72,East La Mirada,15.0,283.45,2020-05-26,2020-05-23,2.0,,,
251,Sun Village,15.0,248.51,2020-05-26,2020-05-23,2.0,,,
314,Wiseburn,15.0,248.88,2020-05-26,2020-05-23,1.0,,,
268,Val Verde,21.0,634.63,2020-05-26,2020-05-23,4.0,,,
294,West LA,23.0,2415.97,2020-05-26,2020-05-23,0.0,,,
