,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
157,Mandeville Canyon,1.0,32.01,2020-05-17,2020-05-14,0.0,,,
6,Anaverde,1.0,66.31,2020-05-17,2020-05-14,0.0,,,
222,San Pasqual,1.0,49.14,2020-05-17,2020-05-14,0.0,,,
277,Vernon,1.0,478.47,2020-05-17,2020-05-14,0.0,,,
110,Hidden Hills,1.0,52.91,2020-05-17,2020-05-14,0.0,,,
253,Sycamore Square,1.0,154.56,2020-05-17,2020-05-14,0.0,,,
150,Llano,1.0,114.03,2020-05-17,2020-05-14,0.0,,,
225,Santa Catalina Island,2.0,749.06,2020-05-17,2020-05-14,0.0,,,
148,Littlerock/Juniper Hills,2.0,154.2,2020-05-17,2020-05-14,0.0,,,
194,Playa Del Rey,2.0,62.58,2020-05-17,2020-05-14,0.0,,,
252,Sunrise Village,2.0,154.32,2020-05-17,2020-05-14,0.0,,,
189,Pearblossom/Llano,2.0,102.25,2020-05-17,2020-05-14,0.0,,,
287,West Antelope Valley,2.0,132.36,2020-05-17,2020-05-14,0.0,,,
62,Del Sur,2.0,82.82,2020-05-17,2020-05-14,0.0,,,
30,Bradbury,2.0,187.09,2020-05-17,2020-05-14,0.0,,,
207,Rolling Hills,2.0,103.09,2020-05-17,2020-05-14,0.0,,,
142,Leona Valley,2.0,114.22,2020-05-17,2020-05-14,0.0,,,
305,White Fence Farms,3.0,81.46,2020-05-17,2020-05-14,1.0,,,
181,Palisades Highlands,3.0,78.0,2020-05-17,2020-05-14,0.0,,,
203,Regent Square,3.0,107.91,2020-05-17,2020-05-14,0.0,,,
261,Toluca Woods,3.0,161.46,2020-05-17,2020-05-14,0.0,,,
82,Elizabeth Lake,3.0,180.61,2020-05-17,2020-05-14,0.0,,,
74,East Pasadena,3.0,46.85,2020-05-17,2020-05-14,2.0,,,
135,Lake Manor,3.0,182.59,2020-05-17,2020-05-14,0.0,,,
230,Saugus,4.0,2580.65,2020-05-17,2020-05-14,0.0,,,
260,Toluca Terrace,4.0,306.28,2020-05-17,2020-05-14,1.0,,,
264,Twin Lakes/Oat Mountain,4.0,241.25,2020-05-17,2020-05-14,0.0,,,
2,Agua Dulce,4.0,96.2,2020-05-17,2020-05-14,1.0,,,
174,North Lancaster,4.0,333.89,2020-05-17,2020-05-14,0.0,,,
121,Kagel/Lopez Canyons,4.0,283.29,2020-05-17,2020-05-14,0.0,,,
119,Irwindale,4.0,274.16,2020-05-17,2020-05-14,0.0,,,
88,Faircrest Heights,4.0,111.11,2020-05-17,2020-05-14,0.0,,,
211,Rosewood,5.0,388.8,2020-05-17,2020-05-14,0.0,,,
296,West Rancho Dominguez,5.0,367.92,2020-05-17,2020-05-14,1.0,,,
63,Desert View Highlands,5.0,200.56,2020-05-17,2020-05-14,0.0,,,
86,Exposition,6.0,180.4,2020-05-17,2020-05-14,0.0,,,
268,Valencia,7.0,227.86,2020-05-17,2020-05-14,1.0,,,
76,East Whittier,7.0,131.93,2020-05-17,2020-05-14,1.0,,,
125,La Habra Heights,8.0,146.65,2020-05-17,2020-05-14,1.0,,,
103,Harbor Pines,8.0,332.09,2020-05-17,2020-05-14,2.0,,,
265,University Hills,9.0,262.47,2020-05-17,2020-05-14,0.0,,,
117,Industry,10.0,2288.33,2020-05-17,2020-05-14,-1.0,,,
71,East La Mirada,10.0,188.96,2020-05-17,2020-05-14,0.0,,,
250,Sun Village,10.0,165.67,2020-05-17,2020-05-14,2.0,,,
313,Wiseburn,10.0,165.92,2020-05-17,2020-05-14,1.0,,,
147,Littlerock,14.0,348.17,2020-05-17,2020-05-14,0.0,,,
267,Val Verde,14.0,423.09,2020-05-17,2020-05-14,2.0,,,
293,West LA,21.0,2205.88,2020-05-17,2020-05-14,0.0,,,
