,ds,region,current_cases,new_cases,cases_7_day_avg
316,2020-04-06,South Bay,523.0,45.0,44.29
333,2020-04-07,South Bay,566.0,43.0,43.57
350,2020-04-08,South Bay,609.0,43.0,43.71
367,2020-04-09,South Bay,650.0,41.0,43.43
384,2020-04-10,South Bay,681.0,31.0,39.86
401,2020-04-11,South Bay,727.0,46.0,41.0
418,2020-04-12,South Bay,755.0,28.0,39.57
435,2020-04-13,South Bay,774.0,19.0,35.86
452,2020-04-14,South Bay,812.0,38.0,35.14
469,2020-04-15,South Bay,838.0,26.0,32.71
486,2020-04-16,South Bay,859.0,21.0,29.86
503,2020-04-17,South Bay,897.0,38.0,30.86
520,2020-04-18,South Bay,933.0,36.0,29.43
537,2020-04-19,South Bay,952.0,19.0,28.14
554,2020-04-20,South Bay,1027.0,75.0,36.14
571,2020-04-21,South Bay,1152.0,125.0,48.57
588,2020-04-22,South Bay,1191.0,39.0,50.43
605,2020-04-23,South Bay,1239.0,48.0,54.29
622,2020-04-24,South Bay,1274.0,35.0,53.86
639,2020-04-25,South Bay,1302.0,28.0,52.71
656,2020-04-26,South Bay,1312.0,10.0,51.43
673,2020-04-27,South Bay,1361.0,49.0,47.71
690,2020-04-28,South Bay,1381.0,20.0,32.71
707,2020-04-29,South Bay,1460.0,79.0,38.43
724,2020-04-30,South Bay,1479.0,19.0,34.29
741,2020-05-01,South Bay,1530.0,51.0,36.57
758,2020-05-03,South Bay,1593.0,63.0,41.57
775,2020-05-04,South Bay,1611.0,18.0,42.71
792,2020-05-05,South Bay,1698.0,87.0,48.14
809,2020-05-06,South Bay,1757.0,59.0,53.71
826,2020-05-07,South Bay,1790.0,33.0,47.14
843,2020-05-08,South Bay,1805.0,15.0,46.57
860,2020-05-09,South Bay,1843.0,38.0,44.71
877,2020-05-10,South Bay,1852.0,9.0,37.0
894,2020-05-11,South Bay,1864.0,12.0,36.14
9,2020-03-18,South L.A.,2.0,0.0,
23,2020-03-19,South L.A.,3.0,1.0,
38,2020-03-20,South L.A.,4.0,1.0,
54,2020-03-21,South L.A.,7.0,3.0,
70,2020-03-22,South L.A.,9.0,2.0,
86,2020-03-23,South L.A.,12.0,3.0,
102,2020-03-24,South L.A.,15.0,3.0,1.86
118,2020-03-25,South L.A.,26.0,11.0,3.43
134,2020-03-26,South L.A.,41.0,15.0,5.43
150,2020-03-27,South L.A.,31.0,-10.0,3.86
166,2020-03-28,South L.A.,46.0,15.0,5.57
182,2020-03-29,South L.A.,56.0,10.0,6.71
198,2020-03-30,South L.A.,63.0,7.0,7.29
215,2020-03-31,South L.A.,106.0,43.0,13.0
232,2020-04-01,South L.A.,168.0,62.0,20.29
249,2020-04-02,South L.A.,206.0,38.0,23.57
266,2020-04-03,South L.A.,237.0,31.0,29.43
283,2020-04-04,South L.A.,286.0,49.0,34.29
300,2020-04-05,South L.A.,337.0,51.0,40.14
317,2020-04-06,South L.A.,364.0,27.0,43.0
334,2020-04-07,South L.A.,403.0,39.0,42.43
351,2020-04-08,South L.A.,445.0,42.0,39.57
368,2020-04-09,South L.A.,480.0,35.0,39.14
385,2020-04-10,South L.A.,515.0,35.0,39.71
402,2020-04-11,South L.A.,542.0,27.0,36.57
419,2020-04-12,South L.A.,552.0,10.0,30.71
436,2020-04-13,South L.A.,572.0,20.0,29.71
453,2020-04-14,South L.A.,612.0,40.0,29.86
470,2020-04-15,South L.A.,650.0,38.0,29.29
487,2020-04-16,South L.A.,673.0,23.0,27.57
504,2020-04-17,South L.A.,717.0,44.0,28.86
521,2020-04-18,South L.A.,763.0,46.0,31.57
538,2020-04-19,South L.A.,789.0,26.0,33.86
555,2020-04-20,South L.A.,906.0,117.0,47.71
572,2020-04-21,South L.A.,1034.0,128.0,60.29
589,2020-04-22,South L.A.,1150.0,116.0,71.43
606,2020-04-23,South L.A.,1258.0,108.0,83.57
623,2020-04-24,South L.A.,1368.0,110.0,93.0
640,2020-04-25,South L.A.,1411.0,43.0,92.57
657,2020-04-26,South L.A.,1448.0,37.0,94.14
674,2020-04-27,South L.A.,1538.0,90.0,90.29
691,2020-04-28,South L.A.,1605.0,67.0,81.57
708,2020-04-29,South L.A.,1712.0,107.0,80.29
725,2020-04-30,South L.A.,1754.0,42.0,70.86
742,2020-05-01,South L.A.,1857.0,103.0,69.86
759,2020-05-03,South L.A.,1975.0,118.0,80.57
776,2020-05-04,South L.A.,2002.0,27.0,79.14
793,2020-05-05,South L.A.,2191.0,189.0,93.29
810,2020-05-06,South L.A.,2295.0,104.0,98.57
827,2020-05-07,South L.A.,2369.0,74.0,93.86
844,2020-05-08,South L.A.,2422.0,53.0,95.43
861,2020-05-09,South L.A.,2506.0,84.0,92.71
878,2020-05-10,South L.A.,2539.0,33.0,80.57
895,2020-05-11,South L.A.,2590.0,51.0,84.0
10,2020-03-18,Southeast,5.0,0.0,
24,2020-03-19,Southeast,5.0,0.0,
39,2020-03-20,Southeast,5.0,0.0,
55,2020-03-21,Southeast,8.0,3.0,
71,2020-03-22,Southeast,12.0,4.0,
87,2020-03-23,Southeast,16.0,4.0,
103,2020-03-24,Southeast,21.0,5.0,2.29
119,2020-03-25,Southeast,39.0,18.0,4.86
135,2020-03-26,Southeast,69.0,30.0,9.14
151,2020-03-27,Southeast,77.0,8.0,10.29
167,2020-03-28,Southeast,113.0,36.0,15.0
183,2020-03-29,Southeast,129.0,16.0,16.71
199,2020-03-30,Southeast,160.0,31.0,20.57
216,2020-03-31,Southeast,207.0,47.0,26.57
233,2020-04-01,Southeast,255.0,48.0,30.86
250,2020-04-02,Southeast,298.0,43.0,32.71
267,2020-04-03,Southeast,336.0,38.0,37.0
284,2020-04-04,Southeast,411.0,75.0,42.57
301,2020-04-05,Southeast,514.0,103.0,55.0
318,2020-04-06,Southeast,562.0,48.0,57.43
335,2020-04-07,Southeast,639.0,77.0,61.71
352,2020-04-08,Southeast,703.0,64.0,64.0
369,2020-04-09,Southeast,775.0,72.0,68.14
386,2020-04-10,Southeast,839.0,64.0,71.86
403,2020-04-11,Southeast,902.0,63.0,70.14
420,2020-04-12,Southeast,923.0,21.0,58.43
437,2020-04-13,Southeast,955.0,32.0,56.14
454,2020-04-14,Southeast,1042.0,87.0,57.57
471,2020-04-15,Southeast,1095.0,53.0,56.0
488,2020-04-16,Southeast,1162.0,67.0,55.29
505,2020-04-17,Southeast,1239.0,77.0,57.14
522,2020-04-18,Southeast,1314.0,75.0,58.86
539,2020-04-19,Southeast,1354.0,40.0,61.57
556,2020-04-20,Southeast,1539.0,185.0,83.43
573,2020-04-21,Southeast,1711.0,172.0,95.57
590,2020-04-22,Southeast,1848.0,137.0,107.57
607,2020-04-23,Southeast,1969.0,121.0,115.29
624,2020-04-24,Southeast,2072.0,103.0,119.0
641,2020-04-25,Southeast,2140.0,68.0,118.0
658,2020-04-26,Southeast,2186.0,46.0,118.86
675,2020-04-27,Southeast,2257.0,71.0,102.57
692,2020-04-28,Southeast,2324.0,67.0,87.57
709,2020-04-29,Southeast,2438.0,114.0,84.29
726,2020-04-30,Southeast,2552.0,114.0,83.29
743,2020-05-01,Southeast,2685.0,133.0,87.57
760,2020-05-03,Southeast,2820.0,135.0,97.14
777,2020-05-04,Southeast,2874.0,54.0,98.29
794,2020-05-05,Southeast,3062.0,188.0,115.0
811,2020-05-06,Southeast,3162.0,100.0,119.71
828,2020-05-07,Southeast,3246.0,84.0,115.43
845,2020-05-08,Southeast,3365.0,119.0,116.14
862,2020-05-09,Southeast,3458.0,93.0,110.43
879,2020-05-10,Southeast,3514.0,56.0,99.14
896,2020-05-11,Southeast,3566.0,52.0,98.86
11,2020-03-18,Verdugos,4.0,0.0,
25,2020-03-19,Verdugos,7.0,3.0,
40,2020-03-20,Verdugos,9.0,2.0,
56,2020-03-21,Verdugos,14.0,5.0,
72,2020-03-22,Verdugos,15.0,1.0,
88,2020-03-23,Verdugos,21.0,6.0,
104,2020-03-24,Verdugos,19.0,-2.0,2.14
120,2020-03-25,Verdugos,29.0,10.0,3.57
136,2020-03-26,Verdugos,47.0,18.0,5.71
152,2020-03-27,Verdugos,54.0,7.0,6.43
168,2020-03-28,Verdugos,64.0,10.0,7.14
184,2020-03-29,Verdugos,76.0,12.0,8.71
200,2020-03-30,Verdugos,94.0,18.0,10.43
217,2020-03-31,Verdugos,131.0,37.0,16.0
234,2020-04-01,Verdugos,154.0,23.0,17.86
251,2020-04-02,Verdugos,205.0,51.0,22.57
268,2020-04-03,Verdugos,219.0,14.0,23.57
285,2020-04-04,Verdugos,202.0,-17.0,19.71
302,2020-04-05,Verdugos,254.0,52.0,25.43
319,2020-04-06,Verdugos,272.0,18.0,25.43
336,2020-04-07,Verdugos,307.0,35.0,25.14
353,2020-04-08,Verdugos,337.0,30.0,26.14
370,2020-04-09,Verdugos,386.0,49.0,25.86
387,2020-04-10,Verdugos,431.0,45.0,30.29
404,2020-04-11,Verdugos,461.0,30.0,37.0
421,2020-04-12,Verdugos,478.0,17.0,32.0
438,2020-04-13,Verdugos,488.0,10.0,30.86
455,2020-04-14,Verdugos,556.0,68.0,35.57
472,2020-04-15,Verdugos,587.0,31.0,35.71
489,2020-04-16,Verdugos,603.0,16.0,31.0
506,2020-04-17,Verdugos,647.0,44.0,30.86
523,2020-04-18,Verdugos,686.0,39.0,32.14
540,2020-04-19,Verdugos,694.0,8.0,30.86
557,2020-04-20,Verdugos,716.0,22.0,32.57
574,2020-04-21,Verdugos,796.0,80.0,34.29
591,2020-04-22,Verdugos,846.0,50.0,37.0
608,2020-04-23,Verdugos,891.0,45.0,41.14
625,2020-04-24,Verdugos,975.0,84.0,46.86
642,2020-04-25,Verdugos,994.0,19.0,44.0
659,2020-04-26,Verdugos,1010.0,16.0,45.14
676,2020-04-27,Verdugos,1054.0,44.0,48.29
693,2020-04-28,Verdugos,1118.0,64.0,46.0
710,2020-04-29,Verdugos,1177.0,59.0,47.29
727,2020-04-30,Verdugos,1241.0,64.0,50.0
744,2020-05-01,Verdugos,1286.0,45.0,44.43
761,2020-05-03,Verdugos,1326.0,40.0,47.43
778,2020-05-04,Verdugos,1372.0,46.0,51.71
795,2020-05-05,Verdugos,1422.0,50.0,52.57
812,2020-05-06,Verdugos,1478.0,56.0,51.43
829,2020-05-07,Verdugos,1526.0,48.0,49.86
846,2020-05-08,Verdugos,1553.0,27.0,44.57
863,2020-05-09,Verdugos,1600.0,47.0,44.86
880,2020-05-10,Verdugos,1626.0,26.0,42.86
897,2020-05-11,Verdugos,1652.0,26.0,40.0
12,2020-03-18,Westside,13.0,0.0,
26,2020-03-19,Westside,37.0,24.0,
41,2020-03-20,Westside,55.0,18.0,
57,2020-03-21,Westside,71.0,16.0,
73,2020-03-22,Westside,82.0,11.0,
89,2020-03-23,Westside,104.0,22.0,
105,2020-03-24,Westside,125.0,21.0,16.0
121,2020-03-25,Westside,141.0,16.0,18.29
137,2020-03-26,Westside,182.0,41.0,20.71
153,2020-03-27,Westside,197.0,15.0,20.29
169,2020-03-28,Westside,231.0,34.0,22.86
185,2020-03-29,Westside,269.0,38.0,26.71
201,2020-03-30,Westside,311.0,42.0,29.57
218,2020-03-31,Westside,363.0,52.0,34.0
235,2020-04-01,Westside,406.0,43.0,37.86
252,2020-04-02,Westside,437.0,31.0,36.43
269,2020-04-03,Westside,484.0,47.0,41.0
286,2020-04-04,Westside,521.0,37.0,41.43
303,2020-04-05,Westside,559.0,38.0,41.43
320,2020-04-06,Westside,585.0,26.0,39.14
337,2020-04-07,Westside,626.0,41.0,37.57
354,2020-04-08,Westside,649.0,23.0,34.71
371,2020-04-09,Westside,665.0,16.0,32.57
388,2020-04-10,Westside,690.0,25.0,29.43
405,2020-04-11,Westside,714.0,24.0,27.57
422,2020-04-12,Westside,720.0,6.0,23.0
439,2020-04-13,Westside,730.0,10.0,20.71
456,2020-04-14,Westside,747.0,17.0,17.29
473,2020-04-15,Westside,769.0,22.0,17.14
490,2020-04-16,Westside,782.0,13.0,16.71
507,2020-04-17,Westside,797.0,15.0,15.29
524,2020-04-18,Westside,820.0,23.0,15.14
541,2020-04-19,Westside,832.0,12.0,16.0
558,2020-04-20,Westside,904.0,72.0,24.86
575,2020-04-21,Westside,964.0,60.0,31.0
592,2020-04-22,Westside,998.0,34.0,32.71
609,2020-04-23,Westside,1036.0,38.0,36.29
626,2020-04-24,Westside,1056.0,20.0,37.0
643,2020-04-25,Westside,1068.0,12.0,35.43
660,2020-04-26,Westside,1081.0,13.0,35.57
677,2020-04-27,Westside,1097.0,16.0,27.57
694,2020-04-28,Westside,1118.0,21.0,22.0
711,2020-04-29,Westside,1140.0,22.0,20.29
728,2020-04-30,Westside,1163.0,23.0,18.14
745,2020-05-01,Westside,1222.0,59.0,23.71
762,2020-05-03,Westside,1275.0,53.0,29.57
779,2020-05-04,Westside,1297.0,22.0,30.86
796,2020-05-05,Westside,1341.0,44.0,34.86
813,2020-05-06,Westside,1371.0,30.0,36.14
830,2020-05-07,Westside,1400.0,29.0,37.14
847,2020-05-08,Westside,1416.0,16.0,36.14
864,2020-05-09,Westside,1437.0,21.0,30.71
881,2020-05-10,Westside,1465.0,28.0,27.14
898,2020-05-11,Westside,1483.0,18.0,26.57
202,2020-03-30,nan,0.0,0.0,
219,2020-03-31,nan,0.0,0.0,
236,2020-04-01,nan,0.0,0.0,
253,2020-04-02,nan,0.0,0.0,
270,2020-04-03,nan,11.0,11.0,
287,2020-04-04,nan,17.0,6.0,
304,2020-04-05,nan,0.0,-17.0,0.0
321,2020-04-06,nan,0.0,0.0,0.0
338,2020-04-07,nan,0.0,0.0,0.0
355,2020-04-08,nan,0.0,0.0,0.0
372,2020-04-09,nan,0.0,0.0,0.0
389,2020-04-10,nan,0.0,0.0,-1.57
406,2020-04-11,nan,0.0,0.0,-2.43
423,2020-04-12,nan,0.0,0.0,0.0
440,2020-04-13,nan,0.0,0.0,0.0
457,2020-04-14,nan,0.0,0.0,0.0
474,2020-04-15,nan,0.0,0.0,0.0
491,2020-04-16,nan,5.0,5.0,0.71
508,2020-04-17,nan,6.0,1.0,0.86
525,2020-04-18,nan,6.0,0.0,0.86
542,2020-04-19,nan,6.0,0.0,0.86
559,2020-04-20,nan,7.0,1.0,1.0
576,2020-04-21,nan,6.0,-1.0,0.86
593,2020-04-22,nan,6.0,0.0,0.86
610,2020-04-23,nan,6.0,0.0,0.14
627,2020-04-24,nan,6.0,0.0,0.0
644,2020-04-25,nan,109.0,103.0,14.71
661,2020-04-26,nan,114.0,5.0,15.43
678,2020-04-27,nan,144.0,30.0,19.57
695,2020-04-28,nan,146.0,2.0,20.0
712,2020-04-29,nan,157.0,11.0,21.57
729,2020-04-30,nan,165.0,8.0,22.71
746,2020-05-01,nan,172.0,7.0,23.71
763,2020-05-03,nan,202.0,30.0,13.29
780,2020-05-04,nan,232.0,30.0,16.86
797,2020-05-05,nan,234.0,2.0,12.86
814,2020-05-06,nan,255.0,21.0,15.57
831,2020-05-07,nan,275.0,20.0,16.86
848,2020-05-08,nan,164.0,-111.0,-0.14
865,2020-05-09,nan,173.0,9.0,0.14
882,2020-05-10,nan,174.0,1.0,-4.0
899,2020-05-11,nan,181.0,7.0,-7.29
