,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
7,Anaverde,1.0,66.31,2020-05-12,2020-05-09,0.0,,,
195,Playa Del Rey,1.0,31.29,2020-05-12,2020-05-09,0.0,,,
158,Mandeville Canyon,1.0,32.01,2020-05-12,2020-05-09,0.0,,,
278,Vernon,1.0,478.47,2020-05-12,2020-05-09,0.0,,,
83,Elizabeth Lake,1.0,60.2,2020-05-12,2020-05-09,0.0,,,
151,Llano,1.0,114.03,2020-05-12,2020-05-09,0.0,,,
143,Leona Valley,1.0,57.11,2020-05-12,2020-05-09,0.0,,,
111,Hidden Hills,1.0,52.91,2020-05-12,2020-05-09,0.0,,,
254,Sycamore Square,1.0,154.56,2020-05-12,2020-05-09,0.0,,,
253,Sunrise Village,1.0,77.16,2020-05-12,2020-05-09,0.0,,,
122,Kagel/Lopez Canyons,2.0,141.64,2020-05-12,2020-05-09,1.0,,,
190,Pearblossom/Llano,2.0,102.25,2020-05-12,2020-05-09,0.0,,,
306,White Fence Farms,2.0,54.3,2020-05-12,2020-05-09,0.0,,,
149,Littlerock/Juniper Hills,2.0,154.2,2020-05-12,2020-05-09,1.0,,,
226,Santa Catalina Island,2.0,749.06,2020-05-12,2020-05-09,0.0,,,
288,West Antelope Valley,2.0,132.36,2020-05-12,2020-05-09,0.0,,,
63,Del Sur,2.0,82.82,2020-05-12,2020-05-09,0.0,,,
31,Bradbury,2.0,187.09,2020-05-12,2020-05-09,0.0,,,
208,Rolling Hills,2.0,103.09,2020-05-12,2020-05-09,0.0,,,
120,Irwindale,3.0,205.62,2020-05-12,2020-05-09,1.0,,,
136,Lake Manor,3.0,182.59,2020-05-12,2020-05-09,0.0,,,
261,Toluca Terrace,3.0,229.71,2020-05-12,2020-05-09,0.0,,,
262,Toluca Woods,3.0,161.46,2020-05-12,2020-05-09,0.0,,,
297,West Rancho Dominguez,3.0,220.75,2020-05-12,2020-05-09,0.0,,,
182,Palisades Highlands,3.0,78.0,2020-05-12,2020-05-09,0.0,,,
204,Regent Square,3.0,107.91,2020-05-12,2020-05-09,0.0,,,
3,Agua Dulce,3.0,72.15,2020-05-12,2020-05-09,1.0,,,
231,Saugus,4.0,2580.65,2020-05-12,2020-05-09,0.0,,,
265,Twin Lakes/Oat Mountain,4.0,241.25,2020-05-12,2020-05-09,0.0,,,
175,North Lancaster,4.0,333.89,2020-05-12,2020-05-09,0.0,,,
89,Faircrest Heights,4.0,111.11,2020-05-12,2020-05-09,0.0,,,
64,Desert View Highlands,4.0,160.45,2020-05-12,2020-05-09,0.0,,,
268,Val Verde,5.0,151.1,2020-05-12,2020-05-09,0.0,,,
212,Rosewood,5.0,388.8,2020-05-12,2020-05-09,0.0,,,
104,Harbor Pines,6.0,249.07,2020-05-12,2020-05-09,2.0,,,
87,Exposition,6.0,180.4,2020-05-12,2020-05-09,1.0,,,
269,Valencia,6.0,195.31,2020-05-12,2020-05-09,0.0,,,
77,East Whittier,6.0,113.08,2020-05-12,2020-05-09,2.0,,,
251,Sun Village,7.0,115.97,2020-05-12,2020-05-09,0.0,,,
126,La Habra Heights,7.0,128.32,2020-05-12,2020-05-09,3.0,,,
266,University Hills,8.0,233.3,2020-05-12,2020-05-09,0.0,,,
72,East La Mirada,9.0,170.07,2020-05-12,2020-05-09,0.0,,,
314,Wiseburn,9.0,149.33,2020-05-12,2020-05-09,0.0,,,
148,Littlerock,11.0,273.56,2020-05-12,2020-05-09,0.0,,,
118,Industry,11.0,2517.16,2020-05-12,2020-05-09,4.0,,,
294,West LA,22.0,2310.92,2020-05-12,2020-05-09,1.0,,,
