,ds,region,current_cases,new_cases,cases_7_day_avg,population_2010,cases_per_100k_7_day_avg
0,2020-03-18,,4.0,0.0,,,
1,2020-03-19,,6.0,2.0,,,
2,2020-03-20,,6.0,0.0,,,
3,2020-03-21,,9.0,3.0,,,
4,2020-03-22,,9.0,0.0,,,
5,2020-03-23,,9.0,0.0,,,
6,2020-03-24,,11.0,2.0,1.0,,
7,2020-03-25,,13.0,2.0,1.29,,
8,2020-03-26,,17.0,4.0,1.57,,
9,2020-03-27,,13.0,-4.0,1.0,,
10,2020-03-28,,16.0,3.0,1.0,,
11,2020-03-29,,23.0,7.0,2.0,,
12,2020-03-30,,24.0,1.0,2.14,,
13,2020-03-31,,26.0,2.0,2.14,,
14,2020-04-01,,26.0,0.0,1.86,,
15,2020-04-02,,32.0,6.0,2.14,,
16,2020-04-03,,32.0,0.0,2.71,,
17,2020-04-04,,36.0,4.0,2.86,,
18,2020-04-05,,51.0,15.0,4.0,,
19,2020-04-06,,51.0,0.0,3.86,,
20,2020-04-07,,57.0,6.0,4.43,,
21,2020-04-08,,58.0,1.0,4.57,,
22,2020-04-09,,62.0,4.0,4.29,,
23,2020-04-10,,67.0,5.0,5.0,,
24,2020-04-11,,69.0,2.0,4.71,,
25,2020-04-12,,69.0,0.0,2.57,,
26,2020-04-13,,70.0,1.0,2.71,,
27,2020-04-14,,72.0,2.0,2.14,,
28,2020-04-15,,70.0,-2.0,1.71,,
29,2020-04-16,,70.0,0.0,1.14,,
30,2020-04-17,,73.0,3.0,0.86,,
31,2020-04-18,,77.0,4.0,1.14,,
32,2020-04-19,,80.0,3.0,1.57,,
33,2020-04-20,,86.0,6.0,2.29,,
34,2020-04-21,,90.0,4.0,2.57,,
35,2020-04-22,,95.0,5.0,3.57,,
36,2020-04-23,,98.0,3.0,4.0,,
37,2020-04-24,,100.0,2.0,3.86,,
38,2020-04-25,,99.0,-1.0,3.14,,
39,2020-04-26,,102.0,3.0,3.14,,
40,2020-04-27,,104.0,2.0,2.57,,
41,2020-04-28,,109.0,5.0,2.71,,
42,2020-04-29,,113.0,4.0,2.57,,
43,2020-04-30,,114.0,1.0,2.29,,
44,2020-05-01,,117.0,3.0,2.43,,
45,2020-05-03,,125.0,8.0,3.71,,
46,2020-05-04,,125.0,0.0,3.29,,
47,2020-05-05,,128.0,3.0,3.43,,
48,2020-05-06,,133.0,5.0,3.43,,
49,2020-05-07,,134.0,1.0,3.0,,
50,2020-05-08,,135.0,1.0,3.0,,
51,2020-05-09,,139.0,4.0,3.14,,
52,2020-05-10,,139.0,0.0,2.0,,
53,2020-05-11,,139.0,0.0,2.0,,
54,2020-05-12,,141.0,2.0,1.86,,
55,2020-05-13,,143.0,2.0,1.43,,
56,2020-05-14,,144.0,1.0,1.43,,
57,2020-05-15,,146.0,2.0,1.57,,
58,2020-05-16,,148.0,2.0,1.29,,
59,2020-05-17,,152.0,4.0,1.86,,
60,2020-05-18,,152.0,0.0,1.86,,
61,2020-05-19,,159.0,7.0,2.57,,
62,2020-05-20,,160.0,1.0,2.43,,
63,2020-05-21,,162.0,2.0,2.57,,
64,2020-05-22,,164.0,2.0,2.57,,
65,2020-05-23,,169.0,5.0,3.0,,
66,2020-05-24,,171.0,2.0,2.71,,
67,2020-05-25,,173.0,2.0,3.0,,
68,2020-05-26,,174.0,1.0,2.14,,
69,2020-03-20,Antelope Valley,3.0,0.0,,295943.0,
70,2020-03-21,Antelope Valley,3.0,0.0,,295943.0,
71,2020-03-22,Antelope Valley,4.0,1.0,,295943.0,
72,2020-03-23,Antelope Valley,8.0,4.0,,295943.0,
73,2020-03-24,Antelope Valley,10.0,2.0,,295943.0,
74,2020-03-25,Antelope Valley,15.0,5.0,,295943.0,
75,2020-03-26,Antelope Valley,18.0,3.0,2.14,295943.0,0.7231122209344368
76,2020-03-27,Antelope Valley,22.0,4.0,2.71,295943.0,0.9157168779123007
77,2020-03-28,Antelope Valley,25.0,3.0,3.14,295943.0,1.0610151279131455
78,2020-03-29,Antelope Valley,30.0,5.0,3.71,295943.0,1.2536197848910096
79,2020-03-30,Antelope Valley,36.0,6.0,4.0,295943.0,1.3516116279148351
80,2020-03-31,Antelope Valley,45.0,9.0,5.0,295943.0,1.6895145348935439
81,2020-04-01,Antelope Valley,50.0,5.0,5.0,295943.0,1.6895145348935439
82,2020-04-02,Antelope Valley,53.0,3.0,5.0,295943.0,1.6895145348935439
