,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,11.0,138.0,2020-06-05,2020-06-02,0.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,56.0,682.76,2020-06-05,2020-06-02,0.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,35.0,167.6,2020-06-05,2020-06-02,0.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,10.0,240.5,2020-06-05,2020-06-02,1.0,,,
4,Alhambra,231.0,266.36,2020-06-05,2020-06-02,5.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,58.0,466.05,2020-06-05,2020-06-02,1.0,33.9786,-118.4156,Westside
6,Altadena,165.0,378.27,2020-06-05,2020-06-02,8.0,34.1902,-118.1313,Verdugos
7,Anaverde,2.0,132.63,2020-06-05,2020-06-02,1.0,,,
8,Angeles National Forest,2.0,160.64,2020-06-05,2020-06-02,1.0,,,
9,Angelino Heights,18.0,719.42,2020-06-05,2020-06-02,0.0,34.0703,-118.2548,Central L.A.
10,Arcadia,105.0,164.49,2020-06-05,2020-06-02,4.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,296.0,861.22,2020-06-05,2020-06-02,0.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,41.0,244.12,2020-06-05,2020-06-02,0.0,33.8658,-118.0831,Southeast
13,Athens Village,36.0,735.14,2020-06-05,2020-06-02,4.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,260.0,612.6,2020-06-05,2020-06-02,21.0,33.9238,-118.3019,South L.A.
15,Atwater Village,52.0,354.56,2020-06-05,2020-06-02,0.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-06-05,2020-06-02,0.0,,,
17,Avocado Heights,33.0,487.08,2020-06-05,2020-06-02,1.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,287.0,471.02,2020-06-05,2020-06-02,29.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,181.0,581.53,2020-06-05,2020-06-02,9.0,34.0047,-118.3415,South L.A.
