,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,11.0,138.0,2020-05-25,2020-05-22,1.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,44.0,536.45,2020-05-25,2020-05-22,3.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,35.0,167.6,2020-05-25,2020-05-22,2.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,6.0,144.3,2020-05-25,2020-05-22,0.0,,,
4,Alhambra,173.0,199.48,2020-05-25,2020-05-22,3.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,45.0,361.59,2020-05-25,2020-05-22,0.0,33.9786,-118.4156,Westside
6,Altadena,139.0,318.66,2020-05-25,2020-05-22,7.0,34.1902,-118.1313,Verdugos
7,Anaverde,1.0,66.31,2020-05-25,2020-05-22,0.0,,,
8,Angeles National Forest,0.0,0.0,2020-05-25,2020-05-22,0.0,,,
9,Angelino Heights,16.0,639.49,2020-05-25,2020-05-22,2.0,34.0703,-118.2548,Central L.A.
10,Arcadia,82.0,129.86,2020-05-25,2020-05-22,5.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,251.0,730.29,2020-05-25,2020-05-22,27.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,28.0,166.72,2020-05-25,2020-05-22,3.0,33.8658,-118.0831,Southeast
13,Athens Village,24.0,490.1,2020-05-25,2020-05-22,2.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,210.0,494.79,2020-05-25,2020-05-22,17.0,33.9238,-118.3019,South L.A.
15,Atwater Village,48.0,327.29,2020-05-25,2020-05-22,2.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-05-25,2020-05-22,0.0,,,
17,Avocado Heights,20.0,295.2,2020-05-25,2020-05-22,0.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,194.0,326.57,2020-05-25,2020-05-22,15.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,151.0,485.14,2020-05-25,2020-05-22,7.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,271.0,353.01,2020-05-25,2020-05-22,36.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,78.0,526.42,2020-05-25,2020-05-22,7.0,34.0758,-118.3678,Central L.A.
22,Bel Air,34.0,403.37,2020-05-25,2020-05-22,1.0,34.0833,-118.4487,Westside
23,Bell,259.0,712.87,2020-05-25,2020-05-22,18.0,33.9761,-118.1851,Southeast
24,Bell Gardens,223.0,517.75,2020-05-25,2020-05-22,19.0,33.9653,-118.1515,Southeast
25,Bellflower,331.0,425.81,2020-05-25,2020-05-22,28.0,33.88221,-118.118,Southeast
26,Beverly Crest,37.0,295.41,2020-05-25,2020-05-22,0.0,34.1024,-118.4163,Westside
27,Beverly Hills,130.0,376.59,2020-05-25,2020-05-22,2.0,34.0736,-118.4004,Westside
28,Beverlywood,36.0,273.29,2020-05-25,2020-05-22,3.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,0.0,0.0,2020-05-25,2020-05-22,0.0,,,
30,Boyle Heights,571.0,657.2,2020-05-25,2020-05-22,67.0,34.0339,-118.2054,Eastside
31,Bradbury,3.0,280.64,2020-05-25,2020-05-22,0.0,,,
32,Brentwood,75.0,242.29,2020-05-25,2020-05-22,1.0,34.0519,-118.4731,Westside
33,Brookside,0.0,0.0,2020-05-25,2020-05-22,0.0,,,
34,Burbank,380.0,354.54,2020-05-25,2020-05-22,12.0,34.1808,-118.309,San Fernando Valley
35,Cadillac-Corning,29.0,407.25,2020-05-25,2020-05-22,2.0,34.040282,-118.38025,Central L.A.
36,Calabasas,58.0,238.46,2020-05-25,2020-05-22,6.0,34.1383,-118.6608,Santa Monica Mountains
37,Canoga Park,459.0,703.03,2020-05-25,2020-05-22,16.0,34.2011,-118.5981,San Fernando Valley
38,Canyon Country,35.0,452.9,2020-05-25,2020-05-22,1.0,34.4245,-118.4711,Northwest County
39,Carson,380.0,404.92,2020-05-25,2020-05-22,17.0,33.8374,-118.2559,Harbor
40,Carthay,76.0,529.14,2020-05-25,2020-05-22,4.0,34.0573,-118.3679,Central L.A.
41,Castaic,316.0,1162.15,2020-05-25,2020-05-22,24.0,34.4889,-118.6229,Northwest County
42,Central,335.0,859.15,2020-05-25,2020-05-22,37.0,34.0833,-118.4487,Westside
43,Century City,32.0,250.16,2020-05-25,2020-05-22,1.0,34.0556,-118.4179,Westside
44,Century Palms/Cove,204.0,604.16,2020-05-25,2020-05-22,26.0,33.9461,-118.2732,South L.A.
45,Cerritos,108.0,215.71,2020-05-25,2020-05-22,8.0,33.8584,-118.0648,Southeast
46,Charter Oak,0.0,0.0,2020-05-25,2020-05-22,0.0,,,
47,Chatsworth,173.0,466.8,2020-05-25,2020-05-22,8.0,34.2506,-118.6148,San Fernando Valley
48,Cheviot Hills,20.0,218.08,2020-05-25,2020-05-22,0.0,34.0458,-118.4079,Westside
49,Chinatown,18.0,224.41,2020-05-25,2020-05-22,2.0,34.0623,-118.2383,Central L.A.
50,Claremont,35.0,95.93,2020-05-25,2020-05-22,2.0,34.1261,-117.7158,Pomona Valley
51,Cloverdale/Cochran,56.0,384.8,2020-05-25,2020-05-22,3.0,34.0626,-118.3465,Central L.A.
52,Commerce,46.0,351.98,2020-05-25,2020-05-22,4.0,34.0006,-118.1598,Southeast
53,Compton,479.0,479.46,2020-05-25,2020-05-22,51.0,33.8958,-118.2201,Southeast
54,Country Club Park,89.0,587.34,2020-05-25,2020-05-22,6.0,34.0503,-118.3212,Central L.A.
55,Covina,199.0,327.01,2020-05-25,2020-05-22,8.0,34.09,-117.8903,San Gabriel Valley
56,Covina (Charter Oak),36.0,273.89,2020-05-25,2020-05-22,1.0,34.0994,-117.8464,San Gabriel Valley
57,Crenshaw District,67.0,484.49,2020-05-25,2020-05-22,0.0,34.0158,-118.3453,South L.A.
58,Crestview,86.0,756.51,2020-05-25,2020-05-22,6.0,34.0458,-118.3816,Westside
59,Cudahy,168.0,690.02,2020-05-25,2020-05-22,15.0,33.9609,-118.1858,Southeast
60,Culver City,137.0,343.66,2020-05-25,2020-05-22,2.0,34.0211,-118.3965,Westside
