,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
172,Newhall,1.0,454.55,2020-06-01,2020-05-29,0.0,,,
238,South Antelope Valley,1.0,219.78,2020-06-01,2020-05-29,0.0,,,
223,San Pasqual,1.0,49.14,2020-06-01,2020-05-29,0.0,,,
191,Pellissier Village,1.0,161.55,2020-06-01,2020-05-29,0.0,,,
151,Llano,1.0,114.03,2020-06-01,2020-05-29,0.0,,,
254,Sycamore Square,1.0,154.56,2020-06-01,2020-05-29,0.0,,,
110,Hi Vista,1.0,91.07,2020-06-01,2020-05-29,0.0,,,
134,Lake Hughes,1.0,149.7,2020-06-01,2020-05-29,0.0,,,
29,Bouquet Canyon,1.0,93.2,2020-06-01,2020-05-29,0.0,,,
7,Anaverde,1.0,66.31,2020-06-01,2020-05-29,0.0,,,
8,Angeles National Forest,1.0,80.32,2020-06-01,2020-05-29,0.0,,,
149,Littlerock/Juniper Hills,2.0,154.2,2020-06-01,2020-05-29,0.0,,,
63,Del Sur,2.0,82.82,2020-06-01,2020-05-29,0.0,,,
158,Mandeville Canyon,2.0,64.02,2020-06-01,2020-05-29,1.0,,,
208,Rolling Hills,2.0,103.09,2020-06-01,2020-05-29,0.0,,,
288,West Antelope Valley,2.0,132.36,2020-06-01,2020-05-29,0.0,,,
226,Santa Catalina Island,2.0,749.06,2020-06-01,2020-05-29,0.0,,,
111,Hidden Hills,3.0,158.73,2020-06-01,2020-05-29,2.0,,,
278,Vernon,3.0,1435.41,2020-06-01,2020-05-29,0.0,,,
262,Toluca Woods,3.0,161.46,2020-06-01,2020-05-29,0.0,,,
83,Elizabeth Lake,3.0,180.61,2020-06-01,2020-05-29,0.0,,,
195,Playa Del Rey,3.0,93.87,2020-06-01,2020-05-29,0.0,,,
143,Leona Valley,3.0,171.33,2020-06-01,2020-05-29,1.0,,,
190,Pearblossom/Llano,3.0,153.37,2020-06-01,2020-05-29,1.0,,,
31,Bradbury,3.0,280.64,2020-06-01,2020-05-29,0.0,,,
231,Saugus,4.0,2580.65,2020-06-01,2020-05-29,0.0,,,
204,Regent Square,4.0,143.88,2020-06-01,2020-05-29,0.0,,,
182,Palisades Highlands,4.0,104.0,2020-06-01,2020-05-29,1.0,,,
75,East Pasadena,4.0,62.47,2020-06-01,2020-05-29,0.0,,,
136,Lake Manor,4.0,243.46,2020-06-01,2020-05-29,0.0,,,
120,Irwindale,4.0,274.16,2020-06-01,2020-05-29,0.0,,,
265,Twin Lakes/Oat Mountain,4.0,241.25,2020-06-01,2020-05-29,0.0,,,
89,Faircrest Heights,4.0,111.11,2020-06-01,2020-05-29,0.0,,,
306,White Fence Farms,6.0,162.91,2020-06-01,2020-05-29,0.0,,,
297,West Rancho Dominguez,6.0,441.5,2020-06-01,2020-05-29,1.0,,,
261,Toluca Terrace,6.0,459.42,2020-06-01,2020-05-29,0.0,,,
212,Rosewood,6.0,466.56,2020-06-01,2020-05-29,1.0,,,
64,Desert View Highlands,6.0,240.67,2020-06-01,2020-05-29,0.0,,,
175,North Lancaster,6.0,500.83,2020-06-01,2020-05-29,1.0,,,
253,Sunrise Village,6.0,462.96,2020-06-01,2020-05-29,3.0,,,
122,Kagel/Lopez Canyons,8.0,566.57,2020-06-01,2020-05-29,1.0,,,
269,Valencia,9.0,292.97,2020-06-01,2020-05-29,2.0,,,
3,Agua Dulce,9.0,216.45,2020-06-01,2020-05-29,1.0,,,
126,La Habra Heights,9.0,164.99,2020-06-01,2020-05-29,1.0,,,
104,Harbor Pines,9.0,373.6,2020-06-01,2020-05-29,0.0,,,
77,East Whittier,10.0,188.47,2020-06-01,2020-05-29,1.0,,,
118,Industry,11.0,2517.16,2020-06-01,2020-05-29,1.0,,,
266,University Hills,12.0,349.96,2020-06-01,2020-05-29,1.0,,,
87,Exposition,13.0,390.86,2020-06-01,2020-05-29,4.0,,,
148,Littlerock,14.0,348.17,2020-06-01,2020-05-29,0.0,,,
72,East La Mirada,16.0,302.34,2020-06-01,2020-05-29,0.0,,,
314,Wiseburn,18.0,298.66,2020-06-01,2020-05-29,0.0,,,
251,Sun Village,19.0,314.78,2020-06-01,2020-05-29,1.0,,,
294,West LA,23.0,2415.97,2020-06-01,2020-05-29,0.0,,,
268,Val Verde,25.0,755.52,2020-06-01,2020-05-29,2.0,,,
